有鱼金融科技<!sp>设计总监（徐汇区）<!sp>20k-35k<!sp>上海<!sp>经验5-10年<!sp>'总监,资深,高级,UI,交互,app'<!sp>09:29<!sp>拉勾网<!sp>'团队氛围好,发展空间大,福利待遇优渥！'<!sp>'美术功底,设计能力,团队协作能力,领悟能力,逻辑思维能力,领导能力,审美能力,创新能力,沟通表达能力,主动性,常用办公软件的使用'<!sp>上海 - 徐汇区 - 漕宝路 - 桂平路391号Ａ座５楼（新漕河泾商务中心）
GreatSeed设计部<!sp>设计总监<!sp>15k-25k<!sp>北京<!sp>经验5-10年<!sp>'文创设计,设计总监,艺术设计,品牌设计总监,设计合伙人,设计总经理'<!sp>09:22<!sp>拉勾网<!sp>'最美非遗,创造价值,实现自我,让世界看见'<!sp>'创新能力,美术功底,设计能力,团队协作能力,领导能力,沟通表达能力,学习能力'<!sp>北京 - 朝阳区 - 望京 - 望京索尼大厦
艺术云朵产品部<!sp>设计总监<!sp>15k-20k<!sp>北京<!sp>经验3-5年<!sp>'广告营销,总监,UI,设计,UED,交互'<!sp>09:56<!sp>拉勾网<!sp>'五险一金,弹性工作'<!sp>'领悟能力,职业操守,美术功底,设计能力,专业素质良好,领导能力,团队协作能力,创新能力,常用办公软件的使用'<!sp>北京 - 朝阳区 - 酒仙桥 - 酒仙桥路10号恒通商务园B52B
洛客众创产品部<!sp>设计总监<!sp>25k-40k<!sp>北京<!sp>经验10年以上<!sp>'总监,资深,web,UI,设计,app'<!sp>2天前<!sp>拉勾网<!sp>'免费零食,氛围MAX,领导是大神'<!sp>'美术功底,设计能力,团队协作能力,领导能力,审美能力,沟通表达能力,学习能力,主动性,抗压能力,责任心,执行能力,创新能力'<!sp>北京 - 朝阳区 - 太阳宫 - 北四环东路6号院洛客大厦
湖南拜伦网络科技有限公司技术部<!sp>设计总监<!sp>20k-35k<!sp>深圳<!sp>经验3-5年<!sp>'总监,UED,产品设计,工业设计,交互'<!sp>15:06<!sp>拉勾网<!sp>'六险一金,节假日福利,年度体检'<!sp>'领悟能力,美术功底,领导能力,设计能力,团队协作能力,文案能力,逻辑思维能力,常用办公软件的使用,审美能力,美术创作能力,责任心,沟通表达能力,创新能力,英语基础'<!sp>深圳 - 南山区 - 深圳软件园
韩后电商电商直运部<!sp>设计总监/经理<!sp>10k-15k<!sp>广州<!sp>经验3-5年<!sp>'广告营销,总监,平面设计,电商'<!sp>16:58<!sp>拉勾网<!sp>'大品牌'<!sp>'美术功底,设计能力,团队协作能力,审美能力,专业素质良好,领导能力'<!sp>广州 - 海珠区 - 瑞宝 - 大干围“海珠创意产业园”11-1栋东梯6楼
灵机文化设计中心<!sp>设计总监<!sp>15k-22k<!sp>广州<!sp>经验3-5年<!sp>'总监,视觉,平面,品牌,移动端,电商'<!sp>09:01<!sp>拉勾网<!sp>'股权分红,五险一金,30万购房无息贷款'<!sp>'设计能力,美术功底,执行能力,团队协作能力,创新能力,领导能力,良好的职业背景,领悟能力,沟通表达能力,抗压能力,责任心'<!sp>广州 - 天河区 - 东圃 - 广州市天河区黄埔大道中309号羊城创意园3-08栋三楼A区
端点科技设计<!sp>设计总监/视觉设计专家/资...<!sp>15k-30k<!sp>杭州<!sp>经验5-10年<!sp>'总监,资深,高级,UED,交互,视觉'<!sp>09:34<!sp>拉勾网<!sp>'五险一金,带薪假,团建'<!sp>'美术功底,设计能力,团队协作能力,领导能力,学习能力,钻研能力,逻辑思维能力,沟通表达能力'<!sp>杭州 - 西湖区 - 河山路中大银座4号楼3楼
找靓机网研发部<!sp>设计总监<!sp>12k-20k<!sp>深圳<!sp>经验3-5年<!sp>'总监,UI,交互,设计,创意,电商'<!sp>2018-01-17<!sp>拉勾网<!sp>'优秀团队,头脑风暴,行业前景'<!sp>'创新能力,设计能力,审美能力,团队协作能力,执行能力,逻辑思维能力,美术功底,常用办公软件的使用'<!sp>深圳 - 福田区 - 华强北 - 深南中路与福虹路交叉口世贸广场A座38楼
悠然一指设计部<!sp>设计总监<!sp>20k-30k<!sp>武汉<!sp>经验10年以上<!sp>'总监,UI,设计,UED'<!sp>3天前<!sp>拉勾网<!sp>'周末双休,五险一金'<!sp>''<!sp>武汉 - 东湖新技术开发区 - 光谷 - 光谷国际广场B座25层
作业盒子设计部<!sp>设计总监<!sp>25k-50k<!sp>北京<!sp>经验5-10年<!sp>'移动互联网'<!sp>10:28<!sp>拉勾网<!sp>'高颜值队友,免费水果,零食,茶水,现磨Coffee'<!sp>'美术功底,设计能力,领导能力,沟通表达能力,领悟能力,团队协作能力,专业素质良好,逻辑思维能力'<!sp>北京 - 朝阳区 - 望京 - 望京SOHO T3 B座4301
e签宝运营中心<!sp>UED总监/设计总监<!sp>20k-30k<!sp>杭州<!sp>经验5-10年<!sp>'总监,UI,设计,UED'<!sp>1天前<!sp>拉勾网<!sp>'行业第一,福利众多,帅哥美女,期权'<!sp>'美术功底,设计能力,团队协作能力,沟通表达能力'<!sp>杭州 - 西湖区 - 翠苑 - 西斗门路3号天堂软件园E幢9楼
领道科技设计部<!sp>设计总监<!sp>6k-8k<!sp>重庆<!sp>经验1-3年<!sp>'广告营销,总监,策划,设计,旅游'<!sp>2018-01-10<!sp>拉勾网<!sp>'晋升快,福利好'<!sp>'设计能力,执行能力,专业素质良好,团队协作能力,美术功底,领悟能力,创新能力,领导能力,沟通表达能力,文案能力'<!sp>重庆 - 沙坪坝区 - 重庆大学 - 沙中路重庆大学国家大学科技园205
对酒当歌设计部<!sp>设计总监<!sp>20k-30k<!sp>深圳<!sp>经验3-5年<!sp>'体育运动,总监,画册,设计,平面广告,电商'<!sp>09:36<!sp>拉勾网<!sp>'周末双休,班车接送'<!sp>'设计能力,创新能力,美术功底,审美能力,时尚,领悟能力,常用办公软件的使用'<!sp>深圳市 - 宝安区 - 新安 - 宝城67区隆昌路8号飞扬科技园
普资金服设计部<!sp>设计总监<!sp>25K-40K<!sp>上海<!sp>经验5-10年<!sp>'总监,UI,设计,视觉,电商'<!sp>17:45<!sp>拉勾网<!sp>'带薪年休假,团队气氛好,公司发展好,年终奖金'<!sp>'领导能力,设计能力,团队协作能力'<!sp>上海 - 浦东新区 - 陆家嘴 - 世纪大道1500号6楼
