象聚集团保险岛<!sp>运营总监<!sp>8k-10k<!sp>郑州<!sp>经验3-5年<!sp>'高级,运营,用户,用户增长,活动运营,社区'<!sp>1天前<!sp>拉勾网<!sp>'双休,六险一金,结婚礼金,新生儿礼金'<!sp>'执行能力,逻辑思维能力,创新能力,团队协作能力,抗压能力,沟通表达能力,学习能力'<!sp>郑州 - 高新区 - 瑞达路翠竹街企业总部基地3号楼
楼盘网产品运营部<!sp>运营总监<!sp>10k-20k<!sp>长沙<!sp>经验5-10年<!sp>'总监,运营,网站,新媒体,活动运营,产品'<!sp>1天前<!sp>拉勾网<!sp>'总监岗,互联网运营'<!sp>'逻辑思维能力,创新能力,专业素质良好,沟通表达能力,团队协作能力'<!sp>长沙 - 天心区 - 涂家冲 - 芙蓉中路三段398号新时空大厦5楼
发源地运营部<!sp>运营总监<!sp>10K-20K<!sp>上海<!sp>经验3-5年<!sp>'总监,金融,运营,大数据'<!sp>09:44<!sp>拉勾网<!sp>'扁平管理,精致团队,福利多'<!sp>'领导能力,团队协作能力,思想品质,性格好,服务意识,逻辑思维能力,沟通表达能力,形象气质佳'<!sp>上海 - 闵行区 - 田林 - 莲花路1733号华纳商务中心201-202
滴咚网络运营中心<!sp>运营总监<!sp>15k-20k<!sp>福州<!sp>经验3-5年<!sp>'总监,活动运营'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,周末双休,节假日,节日福利'<!sp>'执行能力,团队协作能力,逻辑思维能力,领导能力,沟通表达能力'<!sp>福州 - 闽侯县 - 上街镇科技东路万福中心2号楼5层
BigoBIGO LIVE事业部<!sp>运营总监<!sp>30k-40k<!sp>广州<!sp>经验3-5年<!sp>'直播,总监,高级,运营,内容,活动'<!sp>11:05<!sp>拉勾网<!sp>'风口行业,上升空间'<!sp>'良好的职业背景'<!sp>广州市市市 - 番禺区 - 大石 - 万博商务区万达广场北区B-1栋24层
驰骛科技ChiefClouds政府事业部<!sp>电力行业B2B电商-运营总监<!sp>20k-40k<!sp>北京<!sp>经验10年以上<!sp>'金融,运营,副总裁,合伙人,商务拓展,电商'<!sp>1天前<!sp>拉勾网<!sp>'大数据服务,金融服务,电商,综合平台'<!sp>'服务意识,团队协作能力,执行能力,领导能力,开拓精神'<!sp>北京 - 海淀区 - 学院路 - 花园东路临15号，旷怡大厦8层
普资金服运营部<!sp>运营总监<!sp>25k-40k<!sp>上海<!sp>经验5-10年<!sp>'总监,金融,银行,运营'<!sp>1天前<!sp>拉勾网<!sp>'带薪年休假,团队气氛好,海外旅游,年终奖金'<!sp>'执行能力,逻辑思维能力,服务意识,熟悉法律法规,团队协作能力,领导能力,开拓精神'<!sp>上海 - 浦东新区 - 陆家嘴 - 世纪大道1500号6楼
央金所（杭州）科技有限公司运营中心<!sp>运营总监<!sp>20k-30k<!sp>杭州<!sp>经验3-5年<!sp>'总监,平台运营,运营总监,P2P运营总监,核心高管'<!sp>1天前<!sp>拉勾网<!sp>'平台健康,奖金丰厚,老板授权,扁平管理'<!sp>'执行能力,逻辑思维能力,团队协作能力,学习能力,思想品质'<!sp>杭州 - 拱墅区 - 三墩 - 祥园路88号智慧信息产业园4号楼12层
租我么运营部<!sp>运营总监<!sp>10k-15k<!sp>厦门<!sp>经验3-5年<!sp>'总监,资深,高级,运营,产品'<!sp>1天前<!sp>拉勾网<!sp>'高薪,自由,环境好,期权鼓励'<!sp>''<!sp>厦门市市市 - 思明区 - 厦门大学 - 双子塔A塔
链牌 PokerLink运营部<!sp>运营总监<!sp>10k-20k<!sp>长沙<!sp>经验不限<!sp>'游戏,总监,资深,高级,运营'<!sp>09:40<!sp>拉勾网<!sp>'五险一金,高颜值办公,高薪年终奖,能工巧匠多'<!sp>'团队协作能力,领导能力,沟通表达能力,逻辑思维能力'<!sp>长沙市 - 岳麓区 - 麓谷 - 中电软件园
