亚美技术部<!sp>硬件测试主管<!sp>12k-20k<!sp>广州<!sp>经验3-5年<!sp>'硬件制造,QA,测试,硬件,自动化'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,周末双休,奖金丰厚,员工旅游'<!sp>'文案能力,逻辑思维能力,设计能力,专业素质良好,服务意识,沟通表达能力,思想品质,责任心,能出差,应变能力,有驾照'<!sp>广州 - 天河区 - 五山 - 翰景路1号金星大厦6楼
达达-京东到家<!sp>硬件测试工程师<!sp>12k-24k<!sp>北京<!sp>经验3-5年<!sp>'硬件制造,硬件,智能硬件,测试,脚本,自动化'<!sp>2018-01-19<!sp>拉勾网<!sp>'核心团队,超长年假,领导nice'<!sp>'专业素质良好,执行能力,主动性,文案能力'<!sp>北京 - 大兴区 - 亦庄 - 北京经济技术开发区荣华中路22号亦城财富中心B座11层
微创HAPT<!sp>硬件测试 - 赴微软<!sp>7k-11k<!sp>深圳<!sp>经验1-3年<!sp>'硬件制造,初级,QA,硬件,测试'<!sp>1天前<!sp>拉勾网<!sp>'微软工作,顶尖实验室,硬件开发,专业测试'<!sp>''<!sp>深圳 - 南山区 - 科技园 - 同方信息港B栋Microsoft
寒武纪科技产品事业部<!sp>硬件测试工程师<!sp>15k-30k<!sp>北京<!sp>经验3-5年<!sp>'硬件制造,资深,高级,中级,系统集成,硬件开发'<!sp>1天前<!sp>拉勾网<!sp>'技术大牛,扁平管理,弹性工作,生日福利'<!sp>'文案能力,逻辑思维能力,抗压能力,沟通表达能力,学习能力,团队协作能力'<!sp>北京 - 海淀区 - 知春路 - 知春路7号致真大厦D座11层
Rokid硬件<!sp>硬件测试负责人<!sp>18k-30k<!sp>杭州<!sp>经验5-10年<!sp>'硬件制造,QA,硬件,测试'<!sp>1天前<!sp>拉勾网<!sp>'接触大牛,股权激励,出国交流,五险一金'<!sp>'团队协作能力,逻辑思维能力,执行能力,专业素质良好,沟通表达能力,抗压能力,责任心,学习能力,英语基础'<!sp>杭州 - 西湖区 - 西溪 - 西溪路984号西溪创立方B座4楼
九爱科技品质服务部<!sp>硬件测试工程师<!sp>10k-20k<!sp>深圳<!sp>经验3-5年<!sp>'硬件制造,硬件,视频,智能硬件,测试,自动化'<!sp>3天前<!sp>拉勾网<!sp>'股票期权,五险一金,餐补,定期体检'<!sp>'常用办公软件的使用,逻辑思维能力,设计能力,文案能力,执行能力,专业素质良好,责任心,思想品质,沟通表达能力,学习能力,团队协作能力,钻研能力'<!sp>深圳 - 南山区 - 白石洲 - TCL大厦
G7硬件产品研发中心<!sp>硬件测试工程师J11240<!sp>8k-12k<!sp>上海<!sp>经验3-5年<!sp>'硬件制造,汽车,测试'<!sp>2018-01-13<!sp>拉勾网<!sp>'公司发展好,氛围好'<!sp>'文案能力,专业素质良好,执行能力,责任心,沟通表达能力,团队协作能力,创新能力,工作激情'<!sp>上海 - 闵行区 - 吴宝路255号503室
科大讯飞硬件中心<!sp>硬件中心-硬件测试工程师-...<!sp>8k-13k<!sp>合肥<!sp>经验3-5年<!sp>'高级,中级,初级,汽车,硬件,智能硬件'<!sp>1天前<!sp>拉勾网<!sp>'人工智能,智能语音,亚洲唯一语音上市公司'<!sp>'文案能力,专业素质良好'<!sp>合肥 - 高新区 - 望江西路666号讯飞大厦
云智硬件手机产品项目部<!sp>硬件测试工程师<!sp>5K-10K<!sp>广州<!sp>经验5-10年<!sp>'MTK平台,测试仪器,EDA,pads,orcad'<!sp>2018-01-19<!sp>拉勾网<!sp>'双休,社保,分红,带薪春节年假13天等等'<!sp>'专业素质良好,逻辑思维能力,责任心,思想品质,沟通表达能力,学习能力,团队协作能力,钻研能力,设计能力'<!sp>广州 - 天河区 - 沙河 - 广州大道中988号圣丰广场国际金融中心21楼2106
飞驰镁物智能硬件部<!sp>硬件测试工程师<!sp>10k-15k<!sp>北京<!sp>经验3-5年<!sp>'硬件,测试'<!sp>1天前<!sp>拉勾网<!sp>'氛围轻松,五险一金,餐补交补,下午茶'<!sp>'文案能力,沟通表达能力,逻辑思维能力,设计能力'<!sp>北京 - 朝阳区 - 百子湾 - 广渠路3号，竞园艺术中心36A
驭势科技研发部<!sp>硬件测试工程师<!sp>10k-20k<!sp>北京<!sp>经验1-3年<!sp>'硬件'<!sp>2018-01-17<!sp>拉勾网<!sp>'无人驾驶,合伙人制度,班车,工作餐'<!sp>''<!sp>北京市 - 房山区 - 良乡 - 中关村产业前沿技术研究院
亘时科技研发部<!sp>硬件测试工程师<!sp>5k-10k<!sp>深圳<!sp>经验1-3年<!sp>'硬件制造,硬件开发,测试,射频'<!sp>2天前<!sp>拉勾网<!sp>'周末双休,年底双薪,绩效奖金,福利好'<!sp>'执行能力,专业素质良好,设计能力,逻辑思维能力,文案能力,抗压能力,沟通表达能力,学习能力,团队协作能力'<!sp>深圳 - 龙岗区 - 龙岗区龙城大道99号正中时代广场B座1108室
斐讯通信深圳研发中心<!sp>硬件测试工程师<!sp>11k-20k<!sp>深圳<!sp>经验3-5年<!sp>'硬件制造,硬件,测试'<!sp>1天前<!sp>拉勾网<!sp>'初创团队,资金雄厚,行业大咖领军'<!sp>'设计能力,逻辑思维能力'<!sp>深圳 - 南山区 - 科技园 - 科技北一路17号摩比大厦4层
便利蜂技术部门<!sp>硬件测试工程师<!sp>15k-30k<!sp>北京<!sp>经验1-3年<!sp>'硬件制造,测试'<!sp>2018-01-18<!sp>拉勾网<!sp>'年底双薪,明星创业团,弹性工作'<!sp>'文案能力,逻辑思维能力,专业素质良好,钻研能力,学习能力,抗压能力'<!sp>北京 - 海淀区 - 中关村 - 海龙大厦
一加手机测试部<!sp>硬件测试实习生<!sp>3k-6k<!sp>东莞<!sp>经验1年以下<!sp>'硬件制造,初级,实习,测试,射频'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,氛围好,扁平管理'<!sp>'文案能力,钻研能力,英语基础,沟通表达能力'<!sp>东莞 - 东莞市市辖区 - 长安镇
电将军研发部<!sp>硬件测试助理工程师<!sp>4k-6k<!sp>深圳<!sp>经验不限<!sp>'硬件制造,测试'<!sp>2018-01-20<!sp>拉勾网<!sp>'五险,一对一帮带,晋升机会多,生日会'<!sp>'逻辑思维能力,常用办公软件的使用,文案能力,沟通表达能力,团队协作能力,领导能力,抗压能力,责任心,应变能力'<!sp>深圳 - 龙岗区 - 布吉街道布澜路甘李五路科伦特大厦
博奥特科技测试部<!sp>硬件测试/BMC固件测试<!sp>15k-25k<!sp>上海<!sp>经验5-10年<!sp>'高级,中级,系统,硬件'<!sp>2018-01-10<!sp>拉勾网<!sp>'平台好,办公环境佳,周末双休,年度旅游'<!sp>'常用办公软件的使用,逻辑思维能力,英语基础'<!sp>上海 - 浦东新区 - 张江 - 浦东龙东大道3000号张江集电港1号楼A701室
奥比中光工程品质中心<!sp>硬件测试工程师<!sp>10k-20k<!sp>深圳<!sp>经验1年以下<!sp>'硬件制造,QA,硬件开发,测试'<!sp>2天前<!sp>拉勾网<!sp>'发展空间大,福利待遇好,五险一金,工作氛围'<!sp>'沟通表达能力,执行能力,文案能力,逻辑思维能力,团队协作能力'<!sp>深圳市市市 - 南山区 - 科技园 - 高新区联合总部大厦12楼
瑞为智能硬件部<!sp>硬件测试工程师<!sp>7k-14k<!sp>深圳<!sp>经验3-5年<!sp>'硬件制造,硬件,测试,射频'<!sp>1天前<!sp>拉勾网<!sp>'绩效奖金,年终奖,六险一金,体检'<!sp>'逻辑思维能力,文案能力,设计能力,领悟能力,思想品质,英语基础,有车,工作激情,沟通表达能力,团队协作能力'<!sp>深圳 - 南山区 - 科技园 - 科技园科苑路南京大学产学研基地B区103室
Rokid技术部<!sp>硬件测试工程师<!sp>10k-20k<!sp>杭州<!sp>经验3-5年<!sp>'硬件,测试'<!sp>2018-01-03<!sp>拉勾网<!sp>'人工智能,股票期权,五险一金,弹性工作'<!sp>'逻辑思维能力,文案能力,执行能力,英语基础,专业素质良好,职业操守,责任心,学习能力'<!sp>杭州 - 西湖区 - 西溪路984号西溪创立方
G7G7<!sp>硬件测试工程师J11222<!sp>15k-30k<!sp>北京<!sp>经验5-10年<!sp>'硬件制造,汽车,测试,自动化'<!sp>2018-01-03<!sp>拉勾网<!sp>'物联网+大数据+AI'<!sp>'文案能力,逻辑思维能力,设计能力,责任心,应变能力,团队协作能力'<!sp>北京 - 海淀区 - 西北旺 - 农大南路1号院2号楼A座605室
