千寻位置现实捕捉<!sp>机器学习／深度学习<!sp>18k-35k<!sp>上海<!sp>经验3-5年<!sp>'深度学习,open CV'<!sp>1天前<!sp>拉勾网<!sp>'阿里系平台,发展前景广阔'<!sp>'学习能力,美术功底,逻辑思维能力,常用办公软件的使用,领导能力,团队协作能力,专业素质良好,沟通表达能力'<!sp>上海 - 杨浦区 - 国权北路1600号湾谷科技园C5栋9楼
Camera360创新院<!sp>机器学习研发工程师<!sp>15k-25k<!sp>成都<!sp>经验1-3年<!sp>'机器学习'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,员工体检,职级晋升,股票期权'<!sp>'学习能力,常用办公软件的使用,领悟能力,逻辑思维能力,创新能力,专业素质良好'<!sp>成都 - 高新区 - 天府软件园E3-13楼
铂金智慧研发部<!sp>机器学习工程师<!sp>20k-40k<!sp>北京<!sp>经验3-5年<!sp>'后端开发,大数据,机器学习,数据挖掘'<!sp>1天前<!sp>拉勾网<!sp>'大数据产品,下午茶,免费晚餐,弹性工作'<!sp>'专业素质良好,逻辑思维能力,钻研能力,学习能力'<!sp>北京 - 海淀区 - 上地 - 北京海淀区上地东路35号颐泉汇写字楼B座223室
洋葱数学数据开发部门<!sp>机器学习助理<!sp>8k-15k<!sp>北京<!sp>经验1-3年<!sp>'中级,初级,数据挖掘,机器学习,Java,教育'<!sp>1天前<!sp>拉勾网<!sp>'年假15天,免费早午餐,数据量大,指数级增长'<!sp>''<!sp>北京市 - 朝阳区 - 大山子 - 酒仙桥路电通创意广场
绿湾大数据产品技术中心<!sp>机器学习工程师<!sp>30k-60k<!sp>北京<!sp>经验3-5年<!sp>'算法,数据挖掘,人工智能,机器学习,深度学习'<!sp>3天前<!sp>拉勾网<!sp>'期权激励,住房补贴,补充医疗险,带薪休假'<!sp>'学习能力,逻辑思维能力,领悟能力,设计能力,主动性,思想品质,上进心,沟通表达能力,团队协作能力'<!sp>北京 - 海淀区 - 五道口 - 西小口东升科技园B6楼B座5层
360<!sp>机器学习<!sp>40k-80k<!sp>北京<!sp>经验3-5年<!sp>'算法,机器学习,推荐,大数据,数据挖掘'<!sp>2018-01-18<!sp>拉勾网<!sp>'全额试用期,弹性工作,免费三餐,健身房等'<!sp>''<!sp>北京 - 朝阳区 - 酒仙桥 - 酒仙桥路6号院（电子城•国际电子总部）
数美研发部<!sp>机器学习研发工程师<!sp>25k-50k<!sp>北京<!sp>经验1-3年<!sp>'广告营销,金融,算法,机器学习,大数据,数据挖掘'<!sp>1天前<!sp>拉勾网<!sp>'海量数据,顶级团队,大佬领投,飞速发展'<!sp>'逻辑思维能力,服务意识,学习能力,专业素质良好,自我管理能力,工作激情,思想品质'<!sp>北京 - 朝阳区 - 望京 - 望京诚盈中心
搜狗<!sp>搜狗AI云-机器学习研究员<!sp>25k-40k<!sp>北京<!sp>经验1-3年<!sp>'机器学习,深度学习'<!sp>1天前<!sp>拉勾网<!sp>'人工智能方向,最前沿的技术能力'<!sp>'设计能力,学习能力,逻辑思维能力,领悟能力'<!sp>北京 - 海淀区 - 五道口 - 中关村东路一号院清华科技园搜狐网络大厦
蚂蚁金服集团平台数据技术事业群<!sp>蚂蚁金服-高级算法工程师/...<!sp>20k-40k<!sp>杭州<!sp>经验不限<!sp>'数据分析,算法,数据挖掘,机器学习,深度学习,人工智能'<!sp>1天前<!sp>拉勾网<!sp>'金融核心,国际合作,数据驱动,新金融'<!sp>'逻辑思维能力,美术功底,学习能力,常用办公软件的使用,抗压能力,沟通表达能力,团队协作能力'<!sp>杭州 - 西湖区 - 古荡 - 黄龙时代广场B幢
tap4funAI<!sp>机器学习工程师<!sp>15k-25k<!sp>成都<!sp>经验3-5年<!sp>'广告营销,算法,数据挖掘,机器学习,人工智能,数据分析'<!sp>1天前<!sp>拉勾网<!sp>'六险一金,发展空间'<!sp>'逻辑思维能力,设计能力,良好的职业背景,学习能力'<!sp>成都 - 高新区 - 天府软件园A区A3三楼
爱特曼科技机器学习团队<!sp>机器学习工程师<!sp>30k-60k<!sp>北京<!sp>经验3-5年<!sp>'高级,算法,深度学习,NLP,机器学习,自然语言处理'<!sp>3天前<!sp>拉勾网<!sp>'高薪,福利待遇优,人性化管理,前景广阔'<!sp>''<!sp>北京 - 海淀区 - 蓟门桥 - 学院路甲5号768创意产业园A座2号门4层
混沌大学技术部<!sp>机器学习/数据挖掘方向——...<!sp>15k-30k<!sp>北京<!sp>经验1-3年<!sp>'算法,数据挖掘,机器学习,大数据'<!sp>1天前<!sp>拉勾网<!sp>'福利待遇好,不打卡,发展平台大,技术团队牛'<!sp>'钻研能力,逻辑思维能力,学习能力,团队协作能力'<!sp>北京 - 海淀区 - 双榆树 - 中关村东路123号都市网景D座三楼
链家新房研发部<!sp>机器学习/数据挖掘工程师 ...<!sp>20k-40k<!sp>北京<!sp>经验1-3年<!sp>'算法,机器学习,深度学习,推荐,NLP,人工智能'<!sp>1天前<!sp>拉勾网<!sp>'与一群热爱技术的小伙伴共同学习成长'<!sp>'逻辑思维能力,学习能力,良好的职业背景,设计能力,沟通表达能力,团队协作能力,服务意识'<!sp>北京 - 海淀区 - 上地 - 开拓路11号福道大厦
什么值得买研发中心<!sp>机器学习工程师<!sp>20k-30k<!sp>北京<!sp>经验不限<!sp>'高级'<!sp>2天前<!sp>拉勾网<!sp>'定期体检,六险一金'<!sp>'沟通表达能力,钻研能力,学习能力,逻辑思维能力,领悟能力,团队协作能力,专业素质良好'<!sp>北京 - 丰台区 - 木樨园 - 洋桥12号院 近地铁10号线角门东
果小美技术中心<!sp>机器学习工程师<!sp>15k-30k<!sp>成都<!sp>经验3-5年<!sp>'算法,机器学习,数据挖掘,智能硬件'<!sp>2天前<!sp>拉勾网<!sp>'行业独角兽,牛人暴多,技术氛围浓,体面的薪水'<!sp>'学习能力,钻研能力,逻辑思维能力,良好的职业背景,团队协作能力,领悟能力,设计能力,美术功底'<!sp>成都 - 武侯区 - 交子大道中海国际中心F座
联想集团联想研究院<!sp>机器学习研究员<!sp>30k-60k<!sp>北京<!sp>经验3-5年<!sp>'算法,机器学习,数据挖掘,自然语言处理'<!sp>2天前<!sp>拉勾网<!sp>'技术大牛,免费午餐,世界500,企业年金'<!sp>'逻辑思维能力,领悟能力,学习能力,专业素质良好,美术功底,钻研能力,常用办公软件的使用,主动性,沟通表达能力,团队协作能力'<!sp>北京 - 海淀区 - 西二旗 - 联想集团联想研究院
金山办公软件金山办公软件 武汉研发中心 人工智能方向<!sp>机器学习/数据挖掘工程师<!sp>15k-30k<!sp>武汉<!sp>经验1-3年<!sp>'算法,数据挖掘,机器学习,自然语言处理'<!sp>1天前<!sp>拉勾网<!sp>'技术氛围好,福利待遇优,年度旅行,14薪以上'<!sp>'逻辑思维能力,学习能力,领悟能力,设计能力,专业素质良好'<!sp>武汉 - 洪山区 - 光谷大道光谷金融港B24栋小米/金山武汉总部
无秘技术部<!sp>机器学习工程师<!sp>25k-50k<!sp>深圳<!sp>经验3-5年<!sp>'算法,数据挖掘,NLP,机器学习,深度学习,自然语言处理'<!sp>1天前<!sp>拉勾网<!sp>'高速发展,技术牛人,待遇丰厚'<!sp>'学习能力,逻辑思维能力,领悟能力'<!sp>深圳市 - 南山区 - 科技园 - 科技园北区源兴科技大厦南座409
美团点评核心获奖团队<!sp>资深机器学习专家<!sp>30k-50k<!sp>北京<!sp>经验3-5年<!sp>'专家,机器学习'<!sp>1天前<!sp>拉勾网<!sp>'待遇高,挑战性'<!sp>'学习能力,逻辑思维能力,领悟能力,沟通表达能力'<!sp>北京 - 朝阳区 - 望京 - 望京科创大厦
百度云计算事业部<!sp>机器学习/深度学习研究员<!sp>15k-20k<!sp>北京<!sp>经验3-5年<!sp>'后端开发,机器学习,深度学习,人工智能'<!sp>2018-01-16<!sp>拉勾网<!sp>'平台大,业务前景好'<!sp>'主动性,设计能力,学习能力,逻辑思维能力,美术功底,钻研能力'<!sp>北京 - 海淀区 - 西北旺 - 西北旺东路10号院百度科技园2号楼
茄子快传研发部<!sp>资深机器学习工程师<!sp>30k-60k<!sp>北京<!sp>经验5-10年<!sp>'专家,总监,资深,架构师,数据分析,Python'<!sp>2天前<!sp>拉勾网<!sp>'期权股权,晋升快,扁平化管理,福利补贴多'<!sp>'逻辑思维能力,设计能力,学习能力,团队协作能力'<!sp>北京 - 海淀区 - 西北旺 - 中关村软件园23号楼
宜信企业发展部<!sp>机器学习与数据挖掘工程师<!sp>15k-30k<!sp>北京<!sp>经验不限<!sp>'资深,高级,中级,初级,数据挖掘,机器学习'<!sp>2018-01-17<!sp>拉勾网<!sp>'六险一金,紧邻地铁,优势团队'<!sp>'逻辑思维能力,学习能力,钻研能力,团队协作能力,领导能力,设计能力,沟通表达能力,创新能力'<!sp>北京 - 朝阳区 - 大望路 - 西大望路1号温特莱中心A座
搜狗搜索事业部<!sp>搜狗明医-机器学习研究员<!sp>15k-30k<!sp>北京<!sp>经验1-3年<!sp>'工具软件,中级,机器学习'<!sp>1天前<!sp>拉勾网<!sp>'新兴团队,医疗健康朝阳行业,发展空间大'<!sp>'逻辑思维能力,领悟能力,专业素质良好'<!sp>北京 - 海淀区 - 五道口 - 中关村东路一号院清华科技园搜狐网络大厦
蚂蚁金服集团高德<!sp>图像算法/数据挖掘/机器学...<!sp>25k-50k<!sp>北京<!sp>经验3-5年<!sp>'NLP,算法,图像算法,机器学习,数据挖掘,深度学习'<!sp>1天前<!sp>拉勾网<!sp>'核心事业群,顶尖的团队,学习成长快,丰厚股票'<!sp>'逻辑思维能力,设计能力,服务意识,学习能力,专业素质良好,领悟能力,创新能力,常用办公软件的使用,沟通表达能力,团队协作能力'<!sp>北京 - 朝阳区 - 望京 - 首开广场
美团点评智能技术中心<!sp>机器学习研发工程师<!sp>30k-55k<!sp>北京<!sp>经验3-5年<!sp>'高级,算法,数据挖掘,机器学习,深度学习,自然语言处理'<!sp>2天前<!sp>拉勾网<!sp>'大牛云集,核心部门,前沿技术,弹性工作'<!sp>'学习能力,专业素质良好,逻辑思维能力'<!sp>北京 - 朝阳区 - 望京 - 望京国际研发园
果小美技术中心<!sp>机器学习研究员<!sp>15k-30k<!sp>成都<!sp>经验1-3年<!sp>'机器学习,深度学习,人工智能'<!sp>2天前<!sp>拉勾网<!sp>'行业独角兽,牛人暴多,技术氛围浓,体面的薪水'<!sp>'主动性,设计能力,学习能力,逻辑思维能力,美术功底,钻研能力'<!sp>成都 - 武侯区 - 交子大道中海国际中心F座
晶泰科技研发部<!sp>机器学习工程师<!sp>12k-24k<!sp>北京<!sp>经验1-3年<!sp>'python,机器学习,Java,深度学习'<!sp>2018-01-17<!sp>拉勾网<!sp>'工作居住证,五险一金,带薪年假,MIT大牛'<!sp>'团队协作能力,设计能力,学习能力,逻辑思维能力,专业素质良好'<!sp>北京 - 海淀区 - 北京大学 - 方正国际大厦10层
美味不用等<!sp>机器学习工程师<!sp>20k-25k<!sp>上海<!sp>经验3-5年<!sp>'数据分析,数据挖掘,机器学习,大数据'<!sp>1天前<!sp>拉勾网<!sp>'发展前景好'<!sp>'逻辑思维能力,学习能力,常用办公软件的使用,专业素质良好,沟通表达能力'<!sp>上海 - 浦东新区 - 张江 - 祖冲之路887弄88号楼3楼
Bigo算法部门<!sp>机器学习工程师<!sp>20k-40k<!sp>广州<!sp>经验3-5年<!sp>'算法,图像处理,机器学习,深度学习,音视频处理,语音处理'<!sp>2天前<!sp>拉勾网<!sp>'牛人多,大平台,福利好,国际业务'<!sp>'学习能力,钻研能力,逻辑思维能力,专业素质良好,主动性,沟通表达能力'<!sp>广州市 - 番禺区 - 大石 - 万博商务区万达广场北区B-1栋24层
爱奇艺技术产品中心<!sp>自然语言处理/机器学习研究员<!sp>30k-60k<!sp>北京<!sp>经验3-5年<!sp>'算法,图形处理,大数据,机器学习'<!sp>1天前<!sp>拉勾网<!sp>'技术氛围好,海量数据和请求,前景光明'<!sp>'学习能力,钻研能力,逻辑思维能力,专业素质良好'<!sp>北京 - 海淀区 - 中关村 - 海淀北一街2号 爱奇艺创新大厦
GeneDockRD<!sp>机器学习工程师<!sp>15k-25k<!sp>北京<!sp>经验3-5年<!sp>'算法,机器学习,数据挖掘,医疗健康'<!sp>2天前<!sp>拉勾网<!sp>'期权,成长空间,团队氛围'<!sp>'逻辑思维能力,学习能力,钻研能力,设计能力,专业素质良好,主动性,沟通表达能力,团队协作能力,上进心,良好的职业背景'<!sp>北京 - 海淀区 - 北太平庄 - 花园东路11号泰兴大厦501
三九八智慧养老研发中心<!sp>机器学习和数据挖掘工程师<!sp>10k-20k<!sp>北京<!sp>经验1-3年<!sp>'数据挖掘,机器学习,大数据,数据分析'<!sp>3天前<!sp>拉勾网<!sp>'五险一金,节日福利,有薪假期,横纵发展'<!sp>'设计能力,文案能力,学习能力,逻辑思维能力,领悟能力,常用办公软件的使用,团队协作能力,沟通表达能力,执行能力,人际交往能力,思想品质,抗压能力'<!sp>北京 - 朝阳区 - 望京 - 望京广顺北大街36号层321
星环科技<!sp>机器学习/深度学习开发工程师<!sp>18k以上<!sp>上海<!sp>经验1-3年<!sp>'算法,机器学习,深度学习,科学家,大数据,自然语言处理'<!sp>1天前<!sp>拉勾网<!sp>'顶尖团队,技术氛围好,成长快'<!sp>'学习能力,逻辑思维能力,钻研能力,专业素质良好'<!sp>上海 - 徐汇区 - 田林 - 虹漕路88号
360搜索事业部<!sp>数据挖掘/机器学习工程师<!sp>25k-35k<!sp>北京<!sp>经验3-5年<!sp>'广告营销,数据,数据挖掘'<!sp>3天前<!sp>拉勾网<!sp>'股票,保险,免费三餐'<!sp>''<!sp>北京 - 朝阳区 - 酒仙桥 - 酒仙桥路6号院（电子城•国际电子总部）
心知科技研发<!sp>机器学习/算法专家<!sp>40k-80k<!sp>北京<!sp>经验3-5年<!sp>'算法,数据挖掘,机器学习,深度学习'<!sp>2018-01-08<!sp>拉勾网<!sp>'弹性工作,精英团队,透明平等,各种福利'<!sp>''<!sp>北京 - 海淀区 - 中关村 - 融科资讯中心B座11层
奥可纳软件技术(上海）有限公司量化<!sp>量化研究员（机器学习）<!sp>30k-60k<!sp>上海<!sp>经验3-5年<!sp>'机器学习,matlab,量化'<!sp>2天前<!sp>拉勾网<!sp>'机器学习,金融科技,策略开发'<!sp>''<!sp>上海 - 浦东新区 - 上钢新村 - 国展路839号
阿里巴巴—高德<!sp>高德-机器学习/数据挖掘/N...<!sp>18k-36k<!sp>北京<!sp>经验3-5年<!sp>'算法,数据挖掘,机器学习'<!sp>2天前<!sp>拉勾网<!sp>'阿里巴巴,大平台'<!sp>'逻辑思维能力,领悟能力,学习能力,创新能力,设计能力,沟通表达能力,团队协作能力'<!sp>北京 - 朝阳区 - 望京 - 望京首开广场
美团点评美团旅行<!sp>机器学习和算法工程师<!sp>20k-40k<!sp>北京<!sp>经验3-5年<!sp>'高级,数据分析,算法,数据挖掘,机器学习,深度学习'<!sp>3天前<!sp>拉勾网<!sp>'大平台,技术氛围好,成长空间大,年终多薪'<!sp>'学习能力,逻辑思维能力,设计能力,专业素质良好'<!sp>北京 - 朝阳区 - 望京 - 望京国际研发园F/G座
玖富集团技术中心<!sp>机器学习工程师<!sp>20k-35k<!sp>北京<!sp>经验1-3年<!sp>'金融,算法,数据挖掘,机器学习,人工智能,随机森林'<!sp>2018-01-15<!sp>拉勾网<!sp>'创业氛围,都是大牛。'<!sp>'逻辑思维能力,钻研能力,领导能力,学习能力,领悟能力'<!sp>北京 - 朝阳区 - 望京 - 阜通西大街望京SOHO塔三A座三层
360<!sp>机器学习/数据挖掘工程师<!sp>25k-50k<!sp>北京<!sp>经验3-5年<!sp>'广告营销,算法,软件开发,机器学习,数据挖掘'<!sp>2017-12-29<!sp>拉勾网<!sp>'奖金,班车,食堂,健身房'<!sp>''<!sp>北京 - 朝阳区 - 酒仙桥 - 酒仙桥路6号院（电子城•国际电子总部）
点我达研究院<!sp>机器学习专家<!sp>30k-50k<!sp>杭州<!sp>经验1-3年<!sp>'python,数据挖掘,机器学习,深度学习,数据分析,Java'<!sp>2天前<!sp>拉勾网<!sp>'大数据,15-18薪，阿里系'<!sp>'学习能力,逻辑思维能力,责任心,领悟能力,设计能力,主动性,自我管理能力,沟通表达能力,团队协作能力'<!sp>杭州 - 下城区 - 东新路 - 白石巷318号人力资源服务产业园北楼15楼
尚德机构研发中心<!sp>机器学习/数据挖掘研发工程师<!sp>20k-35k<!sp>北京<!sp>经验不限<!sp>'高级,中级,算法,数据挖掘,机器学习,NLP'<!sp>2天前<!sp>拉勾网<!sp>'发展空间,团队氛围,薪资福利'<!sp>'钻研能力,学习能力,逻辑思维能力'<!sp>北京 - 朝阳区 - 来广营 - 朝来高科技产业园36号院6号楼
滴滴出行大数据策略部<!sp>机器学习工程师<!sp>25k-50k<!sp>北京<!sp>经验3-5年<!sp>'高级,算法,数据挖掘,机器学习,深度学习,人工智能'<!sp>1天前<!sp>拉勾网<!sp>'核心技术'<!sp>'逻辑思维能力,专业素质良好,常用办公软件的使用,学习能力,设计能力'<!sp>北京 - 海淀区 - 西北旺 - 尚东数字山谷一号楼滴滴大厦
无秘技术部<!sp>机器学习工程师<!sp>25k-50k<!sp>深圳<!sp>经验3-5年<!sp>'算法,数据挖掘,NLP,机器学习,深度学习,自然语言处理'<!sp>1天前<!sp>拉勾网<!sp>'高速发展,技术牛人,待遇丰厚'<!sp>'学习能力,逻辑思维能力,领悟能力'<!sp>深圳 - 南山区 - 科技园 - 科技园北区源兴科技大厦
奥可纳软件技术(上海）有限公司量化<!sp>量化研究员（机器学习）<!sp>30k-60k<!sp>上海<!sp>经验3-5年<!sp>'机器学习,matlab,量化'<!sp>2天前<!sp>拉勾网<!sp>'机器学习,金融科技,策略开发'<!sp>''<!sp>上海 - 浦东新区 - 上钢新村 - 国展路839号
心知科技研发<!sp>机器学习/算法工程师<!sp>30k-50k<!sp>北京<!sp>经验3-5年<!sp>'算法,数据挖掘,机器学习,深度学习'<!sp>2018-01-08<!sp>拉勾网<!sp>'弹性工作,精英团队,透明平等,各种福利'<!sp>''<!sp>北京 - 海淀区 - 中关村 - 融科资讯中心B座11层
小米MIUI<!sp>小米金融-机器学习/算法岗<!sp>20k-40k<!sp>北京<!sp>经验3-5年<!sp>'资深,高级,搜索,算法,机器学习,NLP'<!sp>1天前<!sp>拉勾网<!sp>'平台大,牛人多,期权激励'<!sp>'学习能力,逻辑思维能力,沟通表达能力,团队协作能力'<!sp>北京 - 海淀区 - 清河 - 毛纺路58号院3号楼
美味不用等<!sp>机器学习与算法工程师<!sp>20k-35k<!sp>上海<!sp>经验1-3年<!sp>'机器学习,模式识别,深度学习'<!sp>1天前<!sp>拉勾网<!sp>'14-16薪,健身房,下午茶'<!sp>'逻辑思维能力,美术功底,学习能力,钻研能力,领悟能力'<!sp>上海 - 浦东新区 - 张江 - 祖冲之路887弄88号楼3楼
阳光信保<!sp>机器学习工程师<!sp>20k以上<!sp>北京<!sp>经验3-5年<!sp>'算法,图像处理,机器学习,深度学习,图形处理,人工智能'<!sp>2018-01-18<!sp>拉勾网<!sp>'大数据平台,专业大牛,领导nice,福利多多'<!sp>'学习能力,逻辑思维能力,创新能力,领悟能力,英语基础,设计能力,领导能力'<!sp>北京 - 朝阳区 - 国贸 - 景华南街5号远洋光华国际大厦C座
陌陌视频部<!sp>机器学习/深度学习工程师（...<!sp>20k-40k<!sp>北京<!sp>经验3-5年<!sp>'音视频,Android,iOS,C++'<!sp>1天前<!sp>拉勾网<!sp>'上升空间大'<!sp>'学习能力'<!sp>北京 - 朝阳区 - 望京 - 阜通东大街1号望京Soho塔2,B座20层
联想集团R&T<!sp>机器学习研究员<!sp>25k-50k<!sp>北京<!sp>经验3-5年<!sp>'算法,机器学习,数据挖掘,数据分析和建模,深度学习'<!sp>2天前<!sp>拉勾网<!sp>'超棒团队,完善福利,大平台,AI方向'<!sp>'逻辑思维能力,领悟能力,学习能力,专业素质良好,美术功底,钻研能力,常用办公软件的使用,主动性,沟通表达能力,团队协作能力'<!sp>北京 - 海淀区 - 西二旗 - 联想集团联想研究院
蚂蚁金服集团资金数据组<!sp>机器学习/数据挖掘算法专家<!sp>20k-40k<!sp>杭州<!sp>经验1-3年<!sp>'算法,数据挖掘,机器学习,深度学习,人工智能,建模'<!sp>1天前<!sp>拉勾网<!sp>'金融量化,机器学习,发展空间大,奖金期权'<!sp>'主动性,学习能力,逻辑思维能力,常用办公软件的使用,专业素质良好,领悟能力,钻研能力,沟通表达能力,团队协作能力'<!sp>杭州 - 西湖区 - 古荡 - 黄龙时代广场B幢
360<!sp>机器学习工程师<!sp>30k-50k<!sp>北京<!sp>经验3-5年<!sp>'数据挖掘,机器学习,深度学习,自然语言处理'<!sp>2017-12-28<!sp>拉勾网<!sp>'创新,重点项目'<!sp>''<!sp>北京 - 朝阳区 - 酒仙桥 - 酒仙桥路6号院（电子城•国际电子总部）
滴滴出行AI Lab<!sp>机器学习工程师/专家——算...<!sp>20k-40k<!sp>北京<!sp>经验1-3年<!sp>'专家,资深,高级,算法,机器学习,数据挖掘'<!sp>1天前<!sp>拉勾网<!sp>'机器学习,运筹优化,机制设计,人工智能'<!sp>'设计能力,学习能力,逻辑思维能力,服务意识,专业素质良好,领悟能力'<!sp>北京 - 海淀区 - 西北旺 - 中关村软件园未名视通研发楼 湾流大厦
奥可纳软件技术(上海）有限公司量化<!sp>量化研究员（机器学习）<!sp>30k-60k<!sp>上海<!sp>经验3-5年<!sp>'机器学习,matlab,量化'<!sp>2天前<!sp>拉勾网<!sp>'机器学习,金融科技,策略开发'<!sp>''<!sp>上海 - 浦东新区 - 上钢新村 - 国展路839号
美团点评外卖配送事业部<!sp>高级机器学习/算法工程师<!sp>20k-40k<!sp>北京<!sp>经验不限<!sp>'数据分析,算法,数据挖掘,机器学习'<!sp>1天前<!sp>拉勾网<!sp>'大平台,成长空间大,牛人多,氛围好'<!sp>'学习能力,专业素质良好,逻辑思维能力,领悟能力'<!sp>北京 - 朝阳区 - 望京 - 望京科创大厦
无秘<!sp>机器学习<!sp>25k-50k<!sp>深圳<!sp>经验3-5年<!sp>''<!sp>1天前<!sp>拉勾网<!sp>'相信技术创新,大数据风控'<!sp>'逻辑思维能力,学习能力,专业素质良好,自我管理能力'<!sp>深圳 - 南山区 - 科技园 - 源兴科技大厦
CTAccel联捷科技应用开发部门<!sp>软件工程师(机器学习)<!sp>30k-50k<!sp>深圳<!sp>经验3-5年<!sp>'算法,机器学习,C++,图像处理,人工智能'<!sp>1天前<!sp>拉勾网<!sp>'15天年假,13薪,年终奖'<!sp>'逻辑思维能力,学习能力,创新能力'<!sp>深圳 - 福田区 - 皇岗 - 金田路3037号金中环商务大厦A2706
智能帮研发<!sp>机器学习+投资交易工程师<!sp>15k-30k<!sp>深圳<!sp>经验不限<!sp>'中级,初级,实习,金融,机器学习,自然语言处理'<!sp>2天前<!sp>拉勾网<!sp>'环境宽松,发展空间大'<!sp>'学习能力,逻辑思维能力,专业素质良好,常用办公软件的使用'<!sp>深圳 - 南山区 - 大冲 - 科技园科技工业大厦
慕课网内容部<!sp>机器学习<!sp>15k-30k<!sp>北京<!sp>经验1-3年<!sp>'SPSS,推荐,人工智能'<!sp>2天前<!sp>拉勾网<!sp>'时间自由,分成丰厚,持续分成'<!sp>''<!sp>北京 - 海淀区 - 魏公村 - 北京理工大学国防科技园
快手研发部<!sp>机器学习研究员J10174<!sp>30k-50k<!sp>北京<!sp>经验3-5年<!sp>'数据分析,算法,机器学习,模式识别,深度学习'<!sp>3天前<!sp>拉勾网<!sp>'平台好,快速发展'<!sp>''<!sp>北京市 - 海淀区 - 万柳 - 北京市海淀区
大地量子研发中心-科学组<!sp>机器学习工程师<!sp>15k-25k<!sp>成都<!sp>经验1-3年<!sp>'算法,深度学习,机器学习,数据挖掘'<!sp>2018-01-17<!sp>拉勾网<!sp>'股票期权,前沿项目,五险一金,小团队'<!sp>'学习能力,逻辑思维能力,专业素质良好'<!sp>成都市市市 - 武侯区 - 中和 - 萃华路89号节能大厦
什么值得买研发中心<!sp>高级机器学习工程师<!sp>18k-28k<!sp>北京<!sp>经验1-3年<!sp>'电商,建模,算法,机械,数据挖掘,解决方案'<!sp>2天前<!sp>拉勾网<!sp>'弹性工作,五险一金,餐补,带薪年假'<!sp>'沟通表达能力,钻研能力,学习能力,逻辑思维能力,领悟能力,团队协作能力,专业素质良好'<!sp>北京 - 丰台区 - 木樨园 - 洋桥12号院 近地铁10号线角门东
猫眼电影技术部<!sp>机器学习、数据挖掘算法工程师<!sp>15k-30k<!sp>北京<!sp>经验1-3年<!sp>'中级,初级,算法,数据挖掘,机器学习,推荐'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,技术氛围好,发展空间大'<!sp>'逻辑思维能力,钻研能力,学习能力,常用办公软件的使用,责任心,沟通表达能力,思想品质,执行能力,团队协作能力'<!sp>北京 - 朝阳区 - 望京 - 望京东路4号恒电大厦B座8层
Bigo大技术部门<!sp>机器学习工程师<!sp>20k-40k<!sp>广州<!sp>经验1-3年<!sp>'高级,算法分析、实现,图像处理,语音处理,模式识别,深度学习'<!sp>2017-12-27<!sp>拉勾网<!sp>'技术研究,大牛同事,技术分享,技术沉淀'<!sp>'学习能力,逻辑思维能力,美术功底,专业素质良好,团队协作能力,领悟能力'<!sp>广州市 - 番禺区 - 大石 - 万博商务区万达广场北区B-1栋24层
BitBays技术部门<!sp>机器学习工程师<!sp>15k-30k<!sp>北京<!sp>经验不限<!sp>'算法,机器学习,深度学习,NLP,语音处理,数据挖掘'<!sp>2018-01-17<!sp>拉勾网<!sp>'技术大牛,不打卡,福利丰厚'<!sp>'学习能力,逻辑思维能力,设计能力'<!sp>北京 - 海淀区 - 北京大学 - 科学院南路2号融科资讯中心B座1313
百度流量质量控制<!sp>机器学习，数据挖掘工程师<!sp>15k-30k<!sp>北京<!sp>经验1-3年<!sp>'数据分析,数据挖掘,机器学习,大数据'<!sp>2018-01-16<!sp>拉勾网<!sp>'升职快,免费班车,水果零食,扁平化管理'<!sp>'逻辑思维能力,学习能力,设计能力,专业素质良好,常用办公软件的使用,良好的职业背景'<!sp>北京 - 海淀区 - 西北旺 - 百度科技园
360<!sp>机器学习工程师<!sp>30k-50k<!sp>北京<!sp>经验1-3年<!sp>'算法,数据挖掘,机器学习'<!sp>2018-01-08<!sp>拉勾网<!sp>'平台大发展好,专业团队,福利健全'<!sp>'服务意识,学习能力,逻辑思维能力,美术功底,钻研能力,创新能力,领悟能力,主动性,思想品质,沟通表达能力,团队协作能力'<!sp>北京 - 朝阳区 - 酒仙桥 - 酒仙桥路6号院（电子城•国际电子总部）
奥可纳软件技术(上海）有限公司量化<!sp>量化研究员（机器学习）<!sp>30k-60k<!sp>上海<!sp>经验3-5年<!sp>'机器学习,matlab,量化'<!sp>2天前<!sp>拉勾网<!sp>'机器学习,金融科技,策略开发'<!sp>''<!sp>上海 - 浦东新区 - 上钢新村 - 国展路839号
Airdoc研发<!sp>机器学习工程师<!sp>30k-50k<!sp>北京<!sp>经验3-5年<!sp>'数据分析,算法,数据挖掘,机器学习,深度学习,NLP'<!sp>2018-01-12<!sp>拉勾网<!sp>'社会价值,扁平管理,氛围好,发展空间大'<!sp>''<!sp>工作地址
美团点评美团外卖配送事业群<!sp>机器学习负责人<!sp>30k-60k<!sp>北京<!sp>经验5-10年<!sp>'专家,总监,资深,算法,机器学习,深度学习'<!sp>1天前<!sp>拉勾网<!sp>'获奖团队,重点业务,可带团队,期权股票'<!sp>'钻研能力,学习能力,服务意识,领悟能力,沟通表达能力,逻辑思维能力,团队协作能力'<!sp>北京 - 朝阳区 - 望京 - 望京科创大厦
