千寻位置现实捕捉<!sp>机器学习／深度学习<!sp>18k-35k<!sp>上海<!sp>经验3-5年<!sp>'深度学习,open CV'<!sp>1天前<!sp>拉勾网<!sp>'阿里系平台,发展前景广阔'<!sp>'学习能力,美术功底,逻辑思维能力,常用办公软件的使用,领导能力,团队协作能力,专业素质良好,沟通表达能力'<!sp>上海 - 杨浦区 - 国权北路1600号湾谷科技园C5栋9楼
极验<!sp>机器学习工程师<!sp>9k-18k<!sp>武汉<!sp>经验1-3年<!sp>'大数据'<!sp>1天前<!sp>拉勾网<!sp>'双休+弹性工作制+五险一金+餐补'<!sp>''<!sp>武汉 - 洪山区 - 红旗 - 书城路文秀街10号2号门8楼
Udesk－企业级智能客服平台技术部<!sp>机器学习<!sp>40k-60k<!sp>北京<!sp>经验5-10年<!sp>'企业服务,机器学习,大数据,数据分析,数据挖掘,Java'<!sp>1天前<!sp>拉勾网<!sp>'团队强悍,数据规模大,场景明确'<!sp>''<!sp>北京 - 西城区 - 西直门 - 西直门南大街2号成铭大厦C座16层1605（西直门地铁站C口）
数美研发部<!sp>机器学习工程师<!sp>20k-40k<!sp>杭州<!sp>经验1-3年<!sp>'广告营销,金融,NLP,音视频处理,大数据,数据挖掘'<!sp>1天前<!sp>拉勾网<!sp>'飞速发展,大佬领投,海量数据,顶级团队'<!sp>'逻辑思维能力,服务意识,学习能力,专业素质良好,自我管理能力,工作激情,思想品质'<!sp>杭州 - 余杭区 - 仓前 - 文一西路
美团点评<!sp>机器学习和算法工程师<!sp>20k-40k<!sp>北京<!sp>经验3-5年<!sp>'算法'<!sp>1天前<!sp>拉勾网<!sp>'O2O,技术控'<!sp>'学习能力,逻辑思维能力,设计能力,专业素质良好'<!sp>北京 - 朝阳区 - 望京 - 望京soho Tower3
TalkingData数据科学中心<!sp>机器学习J10027<!sp>15k-25k<!sp>北京<!sp>经验1-3年<!sp>'征信,广告营销,数据分析,大数据,数据挖掘'<!sp>3天前<!sp>拉勾网<!sp>'大数据,独角兽,技术成长,行业大牛'<!sp>'学习能力,钻研能力,逻辑思维能力,专业素质良好'<!sp>北京 - 东城区 - 北新桥 - 北京市东城区京投快轨大厦608
心知科技技术<!sp>机器学习工程师<!sp>40k-80k<!sp>北京<!sp>经验3-5年<!sp>'架构师,数据分析,算法,数据挖掘,机器学习,人工智能'<!sp>1天前<!sp>拉勾网<!sp>'弹性工时,六险一金,欧美旅行,期权'<!sp>''<!sp>北京 - 海淀区 - 中关村 - 融科资讯中心B座11层
猎户星空人工智能<!sp>机器学习/深度学习平台研...<!sp>20k-40k<!sp>北京<!sp>经验3-5年<!sp>'高级,云计算,机器学习,人工智能,docker,OpenStack'<!sp>1天前<!sp>拉勾网<!sp>'行业大牛,人工智能,前沿技术及产品'<!sp>'学习能力,沟通表达能力,团队协作能力'<!sp>北京 - 朝阳区 - 三里屯 - 盈科中心
蚂蚁金服集团平台数据技术事业群<!sp>蚂蚁金服-微贷网商银行应...<!sp>20k-40k<!sp>杭州<!sp>经验不限<!sp>'数据分析,算法,数据挖掘,机器学习,深度学习,人工智能'<!sp>1天前<!sp>拉勾网<!sp>'金融核心,国际合作,数据驱动,新金融'<!sp>'领悟能力,主动性,学习能力,团队协作能力,逻辑思维能力,良好的职业背景,专业素质良好,沟通表达能力'<!sp>杭州 - 西湖区 - 古荡 - 黄龙时代广场B幢
航仕科技<!sp>机器学习工程师<!sp>28k-56k<!sp>广州<!sp>经验3-5年<!sp>'算法,机器学习,深度学习'<!sp>1天前<!sp>拉勾网<!sp>'BAT的薪资福利待遇,更有技术大牛传授技术'<!sp>'学习能力,领悟能力,美术功底,钻研能力'<!sp>广州 - 天河区 - 员村 - 天河区黄埔大道中309-315
Moka技术部<!sp>自然语言处理/机器学习工程师<!sp>20k-40k<!sp>北京<!sp>经验3-5年<!sp>'算法,机器学习,自然语言处理,SAAS'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,周末双休,年底奖金'<!sp>''<!sp>北京 - 海淀区 - 北京大学 - 中关村方正国际大厦1001室
网宿科技CDN事业部-CDN运营中心-应用研发部<!sp>机器学习工程师<!sp>10k-20k<!sp>厦门<!sp>经验不限<!sp>'算法,机器学习,自然语言处理'<!sp>1天前<!sp>拉勾网<!sp>'带薪年假,年终奖,六险一金,导师制'<!sp>'逻辑思维能力,钻研能力,专业素质良好,学习能力'<!sp>厦门 - 思明区 - 软件园二期观日路32号
APUS Group大数据<!sp>机器学习<!sp>20k-40k<!sp>北京<!sp>经验1-3年<!sp>'广告营销,算法,数据挖掘,机器学习,推荐,大数据'<!sp>1天前<!sp>拉勾网<!sp>'年底双薪,餐补,车补,房补'<!sp>'逻辑思维能力,学习能力,创新能力,钻研能力,专业素质良好,领悟能力'<!sp>北京 - 朝阳区 - - 望京SOHO,T3
京东商城京东商城<!sp>算法工程师-机器学习<!sp>15k-30k<!sp>北京<!sp>经验3-5年<!sp>'广告营销,机器学习,大数据,数据挖掘'<!sp>1天前<!sp>拉勾网<!sp>'大平台,免费班车,餐补'<!sp>'领悟能力,团队协作能力,逻辑思维能力,领导能力,学习能力,沟通表达能力,常用办公软件的使用'<!sp>北京 - 大兴区 - 亦庄 - 京市亦庄经济开发区京东集团总部
向上金服技术部<!sp>机器学习工程师<!sp>25k-32k<!sp>北京<!sp>经验3-5年<!sp>'python,算法,机器学习,大数据,Java'<!sp>1天前<!sp>拉勾网<!sp>'六险一金,饭补交通补,弹性工作,年终奖金'<!sp>'设计能力,学习能力,逻辑思维能力'<!sp>北京 - 东城区 - 朝阳门 - 朝阳门内银河SOHO C座30911室
