武汉佰钧成技术有限公司研发部<!sp>C++开发工程师<!sp>11k-16k<!sp>武汉<!sp>经验1-3年<!sp>'STL,C/C++,数据结构,linux,TCP,C++'<!sp>09:22<!sp>拉勾网<!sp>'高薪,发展平台大,六险一金,高质量团队'<!sp>'服务意识,设计能力,专业素质良好,逻辑思维能力'<!sp>武汉 - 武昌区 - 武汉软件新城A1-4F
数美技术部<!sp>服务端开发工程师-C++<!sp>20k-40k<!sp>北京<!sp>经验1-3年<!sp>'C/C++,大数据,数据挖掘'<!sp>11:01<!sp>拉勾网<!sp>'大牛如云,大佬领投,技术氛围,股份期权'<!sp>'服务意识,设计能力,逻辑思维能力,文案能力,领悟能力,专业素质良好,钻研能力,团队协作能力'<!sp>北京 - 朝阳区 - 望京 - 望京诚盈中心
泛微契约锁<!sp>C++开发工程师<!sp>10k-20k<!sp>上海<!sp>经验1-3年<!sp>'C/C++'<!sp>09:22<!sp>拉勾网<!sp>'半年调薪,福利待遇佳,美味三餐'<!sp>'设计能力,服务意识,团队协作能力,逻辑思维能力,专业素质良好,英语基础,责任心,学习能力,钻研能力'<!sp>上海市 - 闵行区 - 浦江 - 上海市闵行区联航路1188号33号楼泛微软件大厦
捷通华声<!sp>C++开发工程师<!sp>15k-25k<!sp>北京<!sp>经验1-3年<!sp>'企业服务,C/C++,C++,软件开发,Java,深度学习'<!sp>08:49<!sp>拉勾网<!sp>'五险一金,绩效工资,项目奖金,半年调薪'<!sp>'设计能力,逻辑思维能力,服务意识,专业素质良好,学习能力,自我管理能力'<!sp>北京 - 海淀区 - 西二旗 - 中关村软件园2A楼2101
zilliz技术部<!sp>C++<!sp>15k-30k<!sp>杭州<!sp>经验3-5年<!sp>'专家,大数据,C++,Java'<!sp>1天前<!sp>拉勾网<!sp>'丰厚期权,行业高薪,前沿技术,精英团队'<!sp>'设计能力,文案能力,专业素质良好,沟通表达能力,学习能力'<!sp>杭州 - 余杭区 - 仓前 - 良睦路1288号6号楼3层
友友系统沈阳研发中心<!sp>C++开发工程师<!sp>10k-20k<!sp>沈阳<!sp>经验5-10年<!sp>'企业服务,C++'<!sp>10:25<!sp>拉勾网<!sp>'根据能力薪资上不封顶~'<!sp>'逻辑思维能力,英语基础,领导能力,团队协作能力,设计能力,领悟能力,学习能力,主动性,沟通表达能力,专业素质良好,责任心'<!sp>沈阳 - 大东区 - 东塔 - 滂江街龙之梦国际公寓16-9室
大洋能力平台部<!sp>C++研发工程师<!sp>8k-10k<!sp>武汉<!sp>经验1-3年<!sp>'初级,C/C++,linux,C++,Java'<!sp>14:55<!sp>拉勾网<!sp>'薪资丰厚,前景广阔'<!sp>'设计能力,逻辑思维能力,学习能力,专业素质良好,沟通表达能力,团队协作能力'<!sp>武汉 - 江夏区 - 湖北省武汉市洪山区武大航域A7栋2层
云知声IoT<!sp>C++开发工程师<!sp>15k-30k<!sp>北京<!sp>经验3-5年<!sp>'后端开发,linux,C++,golang'<!sp>11:28<!sp>拉勾网<!sp>'技术大牛,六险一金,人工智能'<!sp>'服务意识,设计能力,逻辑思维能力,沟通表达能力,学习能力,主动性,抗压能力'<!sp>北京 - 朝阳区 - 太阳宫 - 太阳宫中路16号院1号楼冠捷大厦12层
云帐房研发部C++团队<!sp>C++工程师<!sp>10k-20k<!sp>南京<!sp>经验3-5年<!sp>'mfc,C/C++,C++'<!sp>10:57<!sp>拉勾网<!sp>'优秀团队,好产品'<!sp>'设计能力,文案能力,逻辑思维能力,主动性,学习能力,抗压能力,沟通表达能力,团队协作能力'<!sp>南京 - 雨花台区 - 宁南 - 江苏南京雨花台区 南京南站站西片区绿地之窗商务广场D-1幢10层
新希望软件研发部<!sp>C++ 研发<!sp>8k-12k<!sp>宁波<!sp>经验1-3年<!sp>'C++'<!sp>16:55<!sp>拉勾网<!sp>'五险一金,年假,体检等'<!sp>'钻研能力'<!sp>宁波 - 江北区 - 倪家堰 - 人民路645弄312号日湖国贸中心
紫川软件<!sp>C++开发工程师<!sp>7k-13k<!sp>深圳<!sp>经验1-3年<!sp>'C++'<!sp>08:24<!sp>拉勾网<!sp>'周末双休,节日福利,员工旅游,五险一金'<!sp>''<!sp>福田区
西谷物联研发部<!sp>C++工程师<!sp>8k-15k<!sp>成都<!sp>经验5-10年<!sp>'硬件制造,C/C++,linux,C++,信息安全,Java'<!sp>17:20<!sp>拉勾网<!sp>'空间大,福利好'<!sp>'服务意识,逻辑思维能力,领悟能力,自我管理能力,沟通表达能力,钻研能力,团队协作能力,设计能力,文案能力'<!sp>成都 - 锦江区 - 锦华路88号汇融创客广场D座11层
小蚁研发部<!sp>高级C++开发工程师<!sp>20k-40k<!sp>上海<!sp>经验5-10年<!sp>'资深,高级,C/C++,客户端,windows,视频'<!sp>16:55<!sp>拉勾网<!sp>'小米生态链,人工智能,餐饮茶歇'<!sp>'设计能力,文案能力,团队协作能力,逻辑思维能力,专业素质良好,抗压能力,沟通表达能力'<!sp>上海 - 浦东新区 - 环科路515号1号楼F16
北京辰森世纪科技股份有限公司技术中心<!sp>C++开发工程师<!sp>15k-25k<!sp>北京<!sp>经验3-5年<!sp>'后端开发,C/C++,客户端,windows,信息安全,golang'<!sp>1天前<!sp>拉勾网<!sp>'阿里系,五险一金,年终奖金,弹性工作'<!sp>'设计能力,文案能力'<!sp>北京 - 朝阳区 - 大山子 - 北京市朝阳区酒仙桥14号兆维工业园C3栋2层
