融道网机构合作部<!sp>理财顾问<!sp>5k-10k<!sp>上海<!sp>经验1-3年<!sp>'理财,金融,基金,顾问,销售'<!sp>10:25<!sp>拉勾网<!sp>'理财,销售,高净值,福利'<!sp>'服务意识,沟通表达能力,团队协作能力,人际交往能力,领悟能力,逻辑思维能力'<!sp>上海 - 浦东新区 - 东方路 - 浦电路489号由由燕乔大厦15F
众链云运营部<!sp>理财顾问<!sp>8k-16k<!sp>北京<!sp>经验3-5年<!sp>'理财,金融,海外,销售,客户代表'<!sp>2018-01-18<!sp>拉勾网<!sp>'领导nic,气氛活跃,发展空间大'<!sp>'沟通表达能力,团队协作能力,学习能力,抗压能力,应变能力,创新能力'<!sp>北京 - 朝阳区 - 大望路 - 东四环中路78号大成国际A2座1705
麦子金服<!sp>理财顾问<!sp>6k-12k<!sp>上海<!sp>经验1-3年<!sp>'理财,金融,销售,顾问,客服'<!sp>1天前<!sp>拉勾网<!sp>'竞争力薪酬,高提成'<!sp>'沟通表达能力,逻辑思维能力,服务意识,常用办公软件的使用,团队协作能力,主动性,责任心,思想品质,学习能力,抗压能力,应变能力'<!sp>上海 - 徐汇区 - 徐家汇 - 肇嘉浜路1033号徐家汇国际大厦 4楼 E/F
杭州览泰销售部<!sp>理财顾问<!sp>6k-12k<!sp>杭州<!sp>经验不限<!sp>'理财,金融,顾问,销售'<!sp>1天前<!sp>拉勾网<!sp>'早九晚六,周末双休,环境优良'<!sp>'沟通表达能力'<!sp>杭州市滨江区滨盛路1688号明豪大厦1705
太平洋寿险广东分公司售后服务部<!sp>理财顾问<!sp>6k-12k<!sp>广州<!sp>经验1-3年<!sp>'理财,金融,销售,顾问,旅游'<!sp>2天前<!sp>拉勾网<!sp>'双休,国企,绩效奖金,员工旅游'<!sp>'主动性,思想品质,上进心,性格好,团队协作能力,领导能力,熟悉法律法规,逻辑思维能力,服务意识'<!sp>广州 - 天河区 - 沙河 - 金穗路8号星汇国际大厦4楼
投哪儿大股东客户部<!sp>理财顾问<!sp>3k-6k<!sp>广州<!sp>经验不限<!sp>'理财,金融,银行,客户经理,海外,理财顾问'<!sp>2天前<!sp>拉勾网<!sp>'做五休二,五险一金,带薪年假,节日福利'<!sp>'沟通表达能力,团队协作能力,思想品质,服务意识,逻辑思维能力,领导能力,学习能力'<!sp>广州 - 天河区 - 珠江新城 - 津滨腾越大厦北塔1808
直向投资理财部<!sp>理财顾问<!sp>6k-8k<!sp>上海<!sp>经验不限<!sp>'理财,海外,顾问,移民'<!sp>2天前<!sp>拉勾网<!sp>'带薪年假,做五休二,节日福利'<!sp>'专业素质良好,亲和力,常用办公软件的使用,抗压能力,上进心'<!sp>上海 - 浦东新区 - 梅园 - 浦东南路855号世界广场35楼
久久财富财富中心<!sp>高薪诚聘理财顾问<!sp>3k-6k<!sp>沈阳<!sp>经验不限<!sp>'理财,金融,海外,销售,客户代表'<!sp>2018-01-15<!sp>拉勾网<!sp>'双休,五险一金,免费培训,不收费用'<!sp>'服务意识,开拓精神,工作激情,执行能力,领悟能力,逻辑思维能力,团队协作能力'<!sp>沈阳 - 沈河区 - 五里河 - 青年大街209-2号夏宫城市广场1号楼36楼
证大财富财富管理部<!sp>理财顾问10000-20000<!sp>10k-20k<!sp>上海<!sp>经验不限<!sp>'理财,旅游,顾问,销售,投资管理,业务管理'<!sp>2天前<!sp>拉勾网<!sp>'地铁周边,美女如云,五险一金,高奖金'<!sp>'团队协作能力,沟通表达能力,人际交往能力,领悟能力,逻辑思维能力,服务意识,人脉资源,责任心'<!sp>上海市 - 长宁区 - 古北 - 红宝石路500号东银中心A栋28层
华致基金市场部<!sp>理财顾问<!sp>4k-6k<!sp>北京<!sp>经验不限<!sp>'理财,金融,顾问'<!sp>2天前<!sp>拉勾网<!sp>'高提成,高净值'<!sp>'沟通表达能力,学习能力,应变能力,性格好'<!sp>北京 - 朝阳区 - 三里屯 - 工体北路甲2号盈科中心a栋12层华致基金
