金证股份金证股份工程二部<!sp>UI设计师<!sp>7k-13k<!sp>合肥<!sp>经验3-5年<!sp>'UI,UED'<!sp>2天前<!sp>拉勾网<!sp>'五险一金,年终奖,调薪幅度大'<!sp>'设计能力'<!sp>合肥 - 庐阳区 - 杏林 - 祥源广场
东方国信<!sp>UI设计师<!sp>5k-10k<!sp>合肥<!sp>经验1-3年<!sp>'游戏,UI,手绘,设计,AI,教育'<!sp>2018-01-05<!sp>拉勾网<!sp>'晋升空间'<!sp>'美术功底,设计能力,专业素质良好,常用办公软件的使用'<!sp>工作地址
奥飞游戏深圳分公司3DMMO手游<!sp>UI设计师<!sp>10k-20k<!sp>深圳<!sp>经验1-3年<!sp>'游戏,UI,角色原画,画师'<!sp>10:48<!sp>拉勾网<!sp>'福利多多,年终奖,项目分红,弹性工作'<!sp>'美术功底,设计能力,美术创作能力,逻辑思维能力,常用办公软件的使用,沟通表达能力,性格好,学习能力'<!sp>- 高新中四道研祥科技大厦18楼
TOPFUN设计部<!sp>初级UI设计师<!sp>6k-10k<!sp>深圳<!sp>经验1-3年<!sp>'游戏,UI,2D,3D'<!sp>10:08<!sp>拉勾网<!sp>'福利好,氛围好'<!sp>'沟通表达能力,常用办公软件的使用,设计能力,美术功底,思想品质'<!sp>深圳 - 南山区 - 科技园 - 百度国际大厦27楼南半层
百融金服风险业务管理部<!sp>UI设计师<!sp>15k-25k<!sp>上海<!sp>经验3-5年<!sp>'UI,UED,交互'<!sp>1天前<!sp>拉勾网<!sp>'六险一金,弹性工作,福利补贴'<!sp>'设计能力,领悟能力,团队协作能力,逻辑思维能力,创新能力,专业素质良好,美术功底,审美能力,抗压能力,沟通表达能力'<!sp>上海 - 浦东新区 - 梅园 - 商城路506号新梅联合广场写字楼二期8F C单元
云帐房产品部<!sp>UI设计师（B端经验优先）<!sp>15k-25k<!sp>南京<!sp>经验5-10年<!sp>'产品需求,UI,UED,B端经验,交互,分析'<!sp>1天前<!sp>拉勾网<!sp>'好产品,优秀团队,好领导,竞争性薪资福利'<!sp>'领悟能力,设计能力,逻辑思维能力,美术功底,形象气质佳,团队协作能力,常用办公软件的使用,创新能力,思想品质,沟通表达能力'<!sp>南京 - 雨花台区 - 宁南 - 江苏南京雨花台区 南京南站站西片区绿地之窗商务广场D-1幢10层
万兴科技股份有限公司高端产品部<!sp>UI设计师<!sp>15k-30k<!sp>深圳<!sp>经验3-5年<!sp>'UI'<!sp>2天前<!sp>拉勾网<!sp>'做设计不易,且画且珍惜'<!sp>'设计能力,创新能力,抗压能力,美术功底,常用办公软件的使用,工作激情'<!sp>深圳 - 南山区 - 科技园 - 软件产业基地5D栋10楼
小鹿医馆产品中心<!sp>视觉设计师<!sp>8k-12k<!sp>北京<!sp>经验不限<!sp>'视觉,UI,设计'<!sp>2天前<!sp>拉勾网<!sp>'六险一金,免费三餐,硅谷范儿,自由开放'<!sp>''<!sp>北京 - 海淀区 - 华东路艺海大厦
航天数据产品研发部<!sp>UI设计工程师<!sp>8k-14k<!sp>北京<!sp>经验5-10年<!sp>'UI,设计,交互'<!sp>3天前<!sp>拉勾网<!sp>'节日福利,交通补助,加班补助'<!sp>'美术功底,创新能力,设计能力,逻辑思维能力,常用办公软件的使用,良好的职业背景'<!sp>北京 - 海淀区 - 苏州街 - 北京市海淀区北四环西路66号中国技术交易大厦B座3层
同程旅游机票事业部<!sp>UI设计师<!sp>8k-15k<!sp>苏州<!sp>经验1-3年<!sp>'UI,UED,旅游'<!sp>2018-01-17<!sp>拉勾网<!sp>'技术大咖,领导nice'<!sp>'美术功底,设计能力,美术创作能力,常用办公软件的使用,良好的职业背景'<!sp>苏州 - 工业园区 - 独墅湖 - 同程大厦
非常满意产品<!sp>UI设计师<!sp>8k-15k<!sp>广州<!sp>经验3-5年<!sp>'高级,web,UE,UI,UED,交互'<!sp>2018-01-15<!sp>拉勾网<!sp>'五险一金,带薪年假,成长空间大,股票期权'<!sp>'美术功底,设计能力,逻辑思维能力,美术创作能力,常用办公软件的使用,学习能力,团队协作能力'<!sp>广州 - 天河区 - 员村 - 天府路161号隽悦园商务大厦413A
狮博产品研发部<!sp>UI设计师<!sp>8K-15K<!sp>上海<!sp>经验3-5年<!sp>'UI,UE,GUI'<!sp>11:59<!sp>拉勾网<!sp>'五险一金,餐补车贴旅游基金,最少14薪'<!sp>'美术功底,设计能力,领悟能力,文案能力,逻辑思维能力,专业素质良好,沟通表达能力'<!sp>上海 - 静安区 - 南京西路 - 威海路489号 上海汽车集团股份有限公司
云图征信技术部<!sp>UI设计师<!sp>7k-13k<!sp>北京<!sp>经验3-5年<!sp>'UI,UED,交互'<!sp>11:53<!sp>拉勾网<!sp>'五险一金,餐补,平台'<!sp>'逻辑思维能力,设计能力,专业素质良好,美术功底,钻研能力'<!sp>北京 - 海淀区 - 牡丹园 - 花园路10号高德大厦1103室
趣丸TT设计部<!sp>UI设计师<!sp>8k-12k<!sp>广州<!sp>经验1-3年<!sp>'UI,交互,设计,app'<!sp>09:33<!sp>拉勾网<!sp>'五险一金,带薪年假,团队旅游,包2餐'<!sp>'逻辑思维能力,设计能力,美术功底,常用办公软件的使用,责任心,团队协作能力,创新能力,执行能力'<!sp>广州 - 天河区 - 棠下 - 棠下荷光三横路9号盛达商务园C座3-4楼
Udesk－企业级智能客服平台设计部<!sp>高级UI设计师<!sp>10k-18k<!sp>北京<!sp>经验3-5年<!sp>'高级,UI,UE,交互,UED'<!sp>08:58<!sp>拉勾网<!sp>'团队强,用户多,产品复杂'<!sp>'美术功底,设计能力,学习能力,钻研能力,团队协作能力,美术创作能力,常用办公软件的使用,创新能力,审美能力,沟通表达能力'<!sp>北京 - 西城区 - 西直门 - 西直门南大街2号成铭大厦C座16层1605（西直门地铁站C口）
鼎盛互动设计部<!sp>资深UI设计师<!sp>20k-28k<!sp>广州<!sp>经验3-5年<!sp>'游戏,资深,高级,UI,设计,视觉'<!sp>1天前<!sp>拉勾网<!sp>'游戏,休闲游戏,资深UI,产品风格'<!sp>'美术功底,设计能力,审美能力,主动性,常用办公软件的使用,沟通表达能力'<!sp>广州 - 天河区 - 珠江新城 - 富力盈通
新东方在线业务<!sp>UI设计<!sp>15k-20k<!sp>北京<!sp>经验1-3年<!sp>'广告营销,UI,设计,交互'<!sp>1天前<!sp>拉勾网<!sp>'互联网教育'<!sp>'创新能力,美术功底,设计能力,领悟能力,抗压能力,责任心,团队协作能力,常用办公软件的使用'<!sp>北京 - 海淀区 - 海淀东三街2号新东方南楼
三七互娱美术<!sp>ui设计师<!sp>8K-15K<!sp>武汉<!sp>经验不限<!sp>'游戏,UI,图标'<!sp>1天前<!sp>拉勾网<!sp>'双休,月结项目奖金,早餐下午茶,五险一金'<!sp>'美术功底,设计能力,团队协作能力,美术创作能力,常用办公软件的使用,专业素质良好,学习能力,责任心'<!sp>武汉 - 东湖新技术开发区 - - 光谷软件园六期E1栋4楼三七互娱
广东道一广东道一信息技术股份有限公司<!sp>UI设计师<!sp>7k-11k<!sp>广州<!sp>经验3-5年<!sp>'UI'<!sp>1天前<!sp>拉勾网<!sp>'美味午茶,六险一金,绩效奖金,舒适环境'<!sp>'美术功底,设计能力,团队协作能力,领悟能力,钻研能力,审美能力,沟通表达能力,抗压能力,执行能力'<!sp>广州 - 天河区 - 天河公园 - 员村一横路3号华颖轩2楼
沐思信息<!sp>UI设计师<!sp>6k-10k<!sp>广州<!sp>经验1-3年<!sp>'UI,交互,UED'<!sp>2天前<!sp>拉勾网<!sp>'行业前景好,公司大牛多,福利待遇好'<!sp>'专业素质良好,设计能力,美术功底,团队协作能力,创新能力,常用办公软件的使用,逻辑思维能力,责任心,沟通表达能力,学习能力'<!sp>广州 - 天河区 - 东圃 - 棠东东路【5】号远洋创意园B319-B332
网鱼上海总部<!sp>UI设计师（A-46）<!sp>15k-20k<!sp>上海<!sp>经验3-5年<!sp>'UI,设计,产品经理,UED'<!sp>2天前<!sp>拉勾网<!sp>'福利好,环境好,弹性工作'<!sp>'设计能力,美术功底,领悟能力,主动性,沟通表达能力,团队协作能力'<!sp>上海 - 徐汇区 - 漕河泾 - 漕河泾开发区古美路1528号总部园2期C栋7楼
温州浩瑞技术部<!sp>UI设计师<!sp>7K-14K<!sp>温州<!sp>经验3-5年<!sp>'广告营销,高级,UI,画册,平面广告,平面设计'<!sp>3天前<!sp>拉勾网<!sp>'高薪稳定'<!sp>'逻辑思维能力,团队协作能力,设计能力,常用办公软件的使用,应变能力,沟通表达能力'<!sp>温州 - 乐清市 - - 乐清市天成街道宁康东路2016号乐清互联网+精密模具产业园内
洋葱数学设计<!sp>资深UI设计师<!sp>20k-30k<!sp>北京<!sp>经验3-5年<!sp>'游戏,资深,UI,设计,交互,教育'<!sp>13:59<!sp>拉勾网<!sp>'免费早午餐,15天年假,深耕产品,弹性工作'<!sp>''<!sp>北京 - 朝阳区 - 大山子 - 酒仙桥路电通创意广场
睿哲品牌中心<!sp>UI设计师<!sp>3k-4k<!sp>佛山<!sp>经验1-3年<!sp>'UI,设计,视觉,助理'<!sp>11:59<!sp>拉勾网<!sp>'双休,帅哥多,美女多,福利好'<!sp>'设计能力,美术功底,团队协作能力,创新能力,常用办公软件的使用,审美能力,吃苦耐劳,思想品质,责任心,沟通表达能力'<!sp>佛山 - 顺德区 - 容桂 - 容桂文明西路42号领德国际大厦17楼1705
青声网络产品部<!sp>UI设计师<!sp>8k-16k<!sp>杭州<!sp>经验1-3年<!sp>'UI,设计,信息安全'<!sp>11:44<!sp>拉勾网<!sp>'五险一金,房补车补,文娱补贴,出国游'<!sp>'美术功底,设计能力,专业素质良好,创新能力,逻辑思维能力'<!sp>杭州 - 余杭区 - 仓前 - 杭州余杭区赛银国际商务办公区8号楼9层
信达悦和设计<!sp>UED/UI高级设计师<!sp>15k-30k<!sp>北京<!sp>经验3-5年<!sp>'总监,资深,高级,UI,UE,交互'<!sp>09:57<!sp>拉勾网<!sp>'发展空间大,机遇挑战多,待遇优厚'<!sp>'美术功底,设计能力,逻辑思维能力,创新能力,领导能力,沟通表达能力,职业操守,学习能力,执行能力'<!sp>北京 - 海淀区 - 北京大学 - 科学院南路2号融科资讯中心B座1313
麦优项目部<!sp>UI设计师<!sp>6k-10k<!sp>广州<!sp>经验3-5年<!sp>'UI,UED,视觉,专员'<!sp>09:39<!sp>拉勾网<!sp>'平台广阔,项目有前景,年度旅游,五年一金'<!sp>'创新能力,美术功底,设计能力,审美能力'<!sp>广州 - 天河区 - 珠江新城 - 华夏路28号富力盈信大厦1903室
QQ炫舞项目组<!sp>UI设计师-卡通日韩（H3D-MU...<!sp>10k-18k<!sp>北京<!sp>经验1-3年<!sp>'游戏,音乐,UI,游戏开发'<!sp>09:36<!sp>拉勾网<!sp>'十三薪,年终奖,婚/育礼金,节日生日礼品'<!sp>'美术功底,设计能力,常用办公软件的使用,逻辑思维能力,学习能力,美术创作能力'<!sp>北京 - 东城区 - 和平里 - 北京市东城区和平里东街11号，航星科技园新建创新楼1号楼、2号楼
左邻产品部<!sp>UI设计师<!sp>9k-18k<!sp>深圳<!sp>经验3-5年<!sp>'UI,设计,app'<!sp>09:35<!sp>拉勾网<!sp>'扁平管理,上升空间,风口行业'<!sp>'设计能力,美术功底,团队协作能力,沟通表达能力,常用办公软件的使用,职业操守,形象气质佳'<!sp>深圳 - 南山区 - 科技园 - 科技园·金融基地2栋7F
京东金融<!sp>UI设计师<!sp>10k-20k<!sp>北京<!sp>经验3-5年<!sp>'UI,支付,UED,交互'<!sp>2天前<!sp>拉勾网<!sp>'学习空间,有趣的同事,在这里设计是跨界的'<!sp>'设计能力,团队协作能力,美术功底,专业素质良好,领悟能力,沟通表达能力,主动性,性格好,学习能力,思想品质'<!sp>北京 - 大兴区 - 亦庄开发区经海路与科创十一街交叉口
江河瑞通市场与解决方案部<!sp>UI设计师<!sp>10k-15k<!sp>北京<!sp>经验5-10年<!sp>'广告营销,UI,设计,UED,交互'<!sp>2天前<!sp>拉勾网<!sp>'七险一金,餐补,年度体检,出国游'<!sp>'设计能力,美术功底,创新能力,专业素质良好,常用办公软件的使用,领悟能力,文案能力,沟通表达能力,团队协作能力,责任心,学习能力,美术创作能力'<!sp>北京市 - 海淀区 - 世纪城 - 蓝靛厂东路2号金源时代商务中心B座10E
QQ炫舞<!sp>UI设计师-卡通日韩（H3D-MU...<!sp>10k-20k<!sp>北京<!sp>经验1-3年<!sp>'高级,UI,角色原画,游戏开发'<!sp>09:36<!sp>拉勾网<!sp>'十三薪,年假,体检,年终'<!sp>'美术功底,设计能力,常用办公软件的使用,逻辑思维能力,学习能力,美术创作能力'<!sp>北京 - 东城区 - 和平里 - 北京市东城区和平里东街11号，航星科技园新建创新楼1号楼、2号楼
中至科技广告部<!sp>ui设计师<!sp>4k-6k<!sp>南昌<!sp>经验1-3年<!sp>'游戏,广告营销,UI,平面设计,旅游,视频'<!sp>2018-01-10<!sp>拉勾网<!sp>'五险一金,晋升制度,食堂宿舍,环境优美'<!sp>'设计能力,团队协作能力,美术功底,常用办公软件的使用,沟通表达能力'<!sp>南昌 - 新建区 - 南昌市新建区玉壶山大道414号中至大厦
三代人科技产品部<!sp>UI设计师<!sp>10k-20k<!sp>深圳<!sp>经验3-5年<!sp>'移动互联网,UI,app'<!sp>13:48<!sp>拉勾网<!sp>'期权激励,年终奖,双休,氛围好'<!sp>'美术功底,设计能力,专业素质良好,责任心,性格好'<!sp>深圳 - 南山区 - 科技园 - 高新产业园粤兴三道9号华中科技大学产学研基地B座5层
永恒传说永恒传说<!sp>UI设计师<!sp>7k-14k<!sp>佛山<!sp>经验不限<!sp>'游戏,UI,设计,欧美风格'<!sp>09:59<!sp>拉勾网<!sp>'五险一金,周末双休,带薪年假,年底双薪'<!sp>'创新能力,美术功底,设计能力,专业素质良好,美术创作能力,领悟能力,逻辑思维能力,主动性,抗压能力,应变能力,沟通表达能力,团队协作能力,关注行业,工作激情'<!sp>佛山 - 禅城区 - 石湾 - 季华四路创意产业园9栋601-602
新的美地运营部<!sp>UI设计师<!sp>3k-5k<!sp>广州<!sp>经验1年以下<!sp>'移动互联网,UI,设计,用户体验,旅游'<!sp>09:05<!sp>拉勾网<!sp>'五险一金,双休'<!sp>'设计能力,沟通表达能力,专业素质良好,美术功底,创新能力,逻辑思维能力,思想品质,执行能力,团队协作能力'<!sp>广州 - 海珠区 - 滨江 - 滨江东586号珠光高派华庭三楼
ivtime产品部<!sp>UI设计师<!sp>8k-15k<!sp>南京<!sp>经验1-3年<!sp>'UI,设计,UED'<!sp>1天前<!sp>拉勾网<!sp>'年底双薪,五险一金,学习机会,人性化氛围'<!sp>'领悟能力,美术功底,设计能力,常用办公软件的使用,专业素质良好,主动性,沟通表达能力,团队协作能力,学习能力'<!sp>南京 - 江宁区 - 秣周东路12号
问卷网@爱调研技术部<!sp>高级UI设计师<!sp>10k-15k<!sp>苏州<!sp>经验3-5年<!sp>'web,UI,UE,交互,app,视觉'<!sp>14:46<!sp>拉勾网<!sp>'带薪年假,定期体检,五险一金,福利多多'<!sp>'设计能力,创新能力,美术功底,专业素质良好,领悟能力,团队协作能力,领导能力,沟通表达能力,常用办公软件的使用'<!sp>苏州 - 工业园区 - 独墅湖 - 星湖街328号创意产业园9-503
POCO.CN设计部<!sp>高级UI设计师<!sp>10k-15k<!sp>广州<!sp>经验3-5年<!sp>'资深,高级,web,UI,交互,app'<!sp>1天前<!sp>拉勾网<!sp>'扁平化管理,晋升空间大,产品前景好,福利齐全'<!sp>'设计能力,创新能力,逻辑思维能力,领导能力,美术功底,钻研能力,美术创作能力'<!sp>广州市市市 - 越秀区 - 岭南 - 寺右一马路18号泰恒大厦1308
百词斩未指定部门<!sp>UI设计师<!sp>10k-20k<!sp>成都<!sp>经验3-5年<!sp>'UI,UE,交互'<!sp>2天前<!sp>拉勾网<!sp>'期权'<!sp>'设计能力,美术功底,逻辑思维能力,领悟能力,美术创作能力,沟通表达能力,团队协作能力'<!sp>成都市市市 - 武侯区 - 中和 - 天府软件园C区4栋5楼
AnkerBP&IT<!sp>UI设计师<!sp>8k-12k<!sp>长沙<!sp>经验不限<!sp>'UI,UED,交互'<!sp>2018-01-18<!sp>拉勾网<!sp>'五险一金,一日三餐'<!sp>'美术功底,设计能力,创新能力,逻辑思维能力,常用办公软件的使用,抗压能力,上进心,沟通表达能力,执行能力,团队协作能力'<!sp>长沙 - 岳麓区 - 中电软件园
康美药业股份有限公司<!sp>UI设计师<!sp>7k-11k<!sp>深圳<!sp>经验3-5年<!sp>'UI,设计,视觉'<!sp>11:26<!sp>拉勾网<!sp>'周末双休,设计师年轻有想法,团队氛围好'<!sp>'逻辑思维能力,专业素质良好,美术功底,设计能力,创新能力,执行能力,常用办公软件的使用,学习能力'<!sp>- 下梅林泰科路3号 康美药业
霖梓网络设计部<!sp>UI设计师<!sp>7k-13k<!sp>杭州<!sp>经验3-5年<!sp>'UI,UED,交互,专员'<!sp>10:22<!sp>拉勾网<!sp>'五险一金,弹性上班,晋升空间大'<!sp>'逻辑思维能力,设计能力,美术功底,执行能力,团队协作能力,专业素质良好,领悟能力'<!sp>杭州 - 滨江区 - 江南 - 星光时代大厦15楼1506-1508
什么值得买技术中心<!sp>UI设计主管<!sp>15k-25k<!sp>北京<!sp>经验3-5年<!sp>'UI,电商'<!sp>09:47<!sp>拉勾网<!sp>'弹性工作,六险一金,旅游体检,健身按摩'<!sp>'设计能力,形象气质佳,团队协作能力,逻辑思维能力,美术功底,领悟能力,专业素质良好,主动性,沟通表达能力'<!sp>北京 - 丰台区 - 木樨园 - 洋桥12号院天路星苑什么值得买3层到19层
创智汇电子商务<!sp>UI设计师<!sp>5k-8k<!sp>上海<!sp>经验1-3年<!sp>'UI'<!sp>09:37<!sp>拉勾网<!sp>'弹性工作,五险一金,餐饮补贴,交通便利'<!sp>'设计能力,创新能力,美术功底,逻辑思维能力,专业素质良好,思想品质,责任心,沟通表达能力,学习能力,团队协作能力'<!sp>上海 - 宝山区 - 江湾 - 三门路561号复旦软件园3B05室
久邦GOMOGA0<!sp>资深UI设计师<!sp>8k-12k<!sp>广州<!sp>经验3-5年<!sp>'资深,UI,交互,海外,app'<!sp>1天前<!sp>拉勾网<!sp>'团队年轻,节日福利,五险一金'<!sp>'设计能力,逻辑思维能力,领导能力,美术功底,团队协作能力'<!sp>广州市 - 越秀区 - 建设 - 中山三路33号中华国际中心A座16、17楼
久趣英语设计部<!sp>高级UI设计师（厦门）<!sp>20k-30k<!sp>厦门<!sp>经验5-10年<!sp>'web,UI,交互,设计,app'<!sp>1天前<!sp>拉勾网<!sp>'六险一金,年终奖金,节日福利,下午茶'<!sp>'创新能力,设计能力,领悟能力,专业素质良好,美术功底,美术创作能力,常用办公软件的使用,主动性,沟通表达能力'<!sp>厦门 - 思明区 - 门软件园二期望海路16号之三4F
网龙网络有限公司UEDC<!sp>高级UI设计师<!sp>10K-15K<!sp>福州<!sp>经验5-10年<!sp>'高级,UI,UE,GUI,交互,app'<!sp>2018-01-11<!sp>拉勾网<!sp>'弹性工作,五险一金,培训机会多'<!sp>'美术功底,设计能力,领导能力,专业素质良好,美术创作能力,领悟能力,常用办公软件的使用,团队协作能力'<!sp>福州 - 鼓楼区 - 温泉 - 851大楼
惠龙易通技术部<!sp>UI设计师<!sp>5k-10k<!sp>南京<!sp>经验1-3年<!sp>'高级,UI,UED,交互'<!sp>2018-01-08<!sp>拉勾网<!sp>'五险一金,免费住宿,免费班车'<!sp>'设计能力,审美能力,沟通表达能力,团队协作能力,领悟能力'<!sp>工作地址
新光供应链技术部<!sp>UI设计师（金服）<!sp>15k-20k<!sp>杭州<!sp>经验3-5年<!sp>'媒体,资深,UI,UED,交互,电商'<!sp>12:43<!sp>拉勾网<!sp>'薪资优厚,五险一金,餐饮补贴'<!sp>'设计能力,逻辑思维能力,美术功底,团队协作能力,领悟能力,沟通表达能力,专业素质良好'<!sp>杭州 - 上城区 - 南星 - 赞成大厦
道一二三研发部<!sp>UI设计师<!sp>4k-8k<!sp>北京<!sp>经验1-3年<!sp>'UI'<!sp>10:15<!sp>拉勾网<!sp>'包住宿'<!sp>'美术功底,设计能力,专业素质良好'<!sp>北京 - 海淀区 - 西二旗 - 西二旗地铁站附近
纳里健康产品部<!sp>UI设计师<!sp>5k-10k<!sp>杭州<!sp>经验1-3年<!sp>'UI'<!sp>09:48<!sp>拉勾网<!sp>'发展空间大,五险一金,工作氛围好'<!sp>'美术功底,设计能力,时尚,创新能力,主动性,职业操守,审美能力,专业素质良好,团队协作能力'<!sp>杭州 - 滨江区 - 开发区 - 江南大道3688号潮人汇9楼
清帆远航清帆-设计组<!sp>UI设计总监<!sp>22k-30k<!sp>北京<!sp>经验5-10年<!sp>'总监,资深,高级,UI,UE,交互'<!sp>1天前<!sp>拉勾网<!sp>'年13薪,期权激励,优秀团队,扁平化管理'<!sp>'领悟能力,美术功底,设计能力,逻辑思维能力,创新能力,团队协作能力,关注行业,领导能力,人脉资源,抗压能力,执行能力,学习能力'<!sp>北京 - 海淀区 - 西北旺 - 中关村软件园立思辰大厦5层
承世科技设计部<!sp>UI设计师<!sp>4k-6k<!sp>重庆<!sp>经验1-3年<!sp>'UI,设计,电商'<!sp>1天前<!sp>拉勾网<!sp>'带薪年假'<!sp>'设计能力,美术功底,领悟能力,创新能力,沟通表达能力,团队协作能力,常用办公软件的使用,责任心,思想品质,专业素质良好'<!sp>重庆 - 南岸区 - 南坪 - 玖玺台7栋
