今日头条<!sp>Python 研发工程师<!sp>25k-45k<!sp>北京<!sp>经验3-5年<!sp>'后端开发'<!sp>09:46<!sp>拉勾网<!sp>'六险一金,高薪期权,弹性工作,免费三餐,租房补贴,带薪休假,扁平管理,职业大牛,晋升空间'<!sp>'设计能力,创新能力,专业素质良好,领悟能力,逻辑思维能力,服务意识,责任心,沟通表达能力,团队协作能力'<!sp>北京 - 海淀区 - 北京市海淀区知春路63号中国卫星通信大厦
健培大数据<!sp>Python软件开发<!sp>10k-15k<!sp>杭州<!sp>经验1-3年<!sp>'软件,软件开发'<!sp>14:07<!sp>拉勾网<!sp>'高薪,五险一金,氛围好'<!sp>'专业素质良好,设计能力,逻辑思维能力,良好的职业背景'<!sp>杭州 - 江干区 - 下沙 - 下沙经济开发区3号大街3号（杭州银行对面）
卓翰科技研发<!sp>Python研发工程师<!sp>15k-25k<!sp>武汉<!sp>经验1-3年<!sp>'python'<!sp>13:15<!sp>拉勾网<!sp>'技术实力强,团队氛围佳'<!sp>'设计能力,专业素质良好,良好的职业背景,责任心,英语基础,钻研能力,学习能力,文案能力,逻辑思维能力,沟通表达能力,团队协作能力'<!sp>武汉市市市 - 洪山区 - 流芳 - 武大科技园武大园三路5号力源信息大厦7楼
ZingFront智线研发<!sp>Python中级工程师<!sp>8k-10k<!sp>廊坊<!sp>经验1-3年<!sp>'中级,分布式,Python,Java,架构'<!sp>11:17<!sp>拉勾网<!sp>'五险一金,带薪年假'<!sp>'专业素质良好,逻辑思维能力,设计能力,学习能力,团队协作能力'<!sp>廊坊 - 广阳区 - 华航西校区e创空间4层
老虎证券研发部<!sp>python开发工程师<!sp>20k-40k<!sp>北京<!sp>经验1-3年<!sp>'资深,MySQL,Python'<!sp>10:58<!sp>拉勾网<!sp>'加班少,福利好'<!sp>'逻辑思维能力,设计能力,文案能力,服务意识,领悟能力,团队协作能力,专业素质良好,抗压能力,学习能力'<!sp>北京 - 朝阳区 - 燕莎 - 东三环北路3号中远幸福大厦
Veeva研发部<!sp>Python工程师<!sp>20k-30k<!sp>北京<!sp>经验3-5年<!sp>'中级,后端开发,web,云计算,Python,架构'<!sp>10:35<!sp>拉勾网<!sp>'纽交所上市,云计算,股票,年度旅游'<!sp>''<!sp>北京 - 朝阳区 - 燕莎 - 平安国际金融中心
猎户星空语音后台<!sp>python开发工程师<!sp>15k-30k<!sp>北京<!sp>经验不限<!sp>'数据分析,Python,搜索/推荐/知识'<!sp>10:34<!sp>拉勾网<!sp>'绩效奖金,午餐补助,年度旅游,人工智能领域'<!sp>'钻研能力,创新能力,团队协作能力,学习能力,专业素质良好'<!sp>北京 - 朝阳区 - 团结湖 - 北京市朝阳区工体北路甲二号盈科中心裙房办公楼1-4层
北蚁研发部<!sp>Python高级开发工程师<!sp>10k-18k<!sp>武汉<!sp>经验3-5年<!sp>'资深,高级,python,云计算,golang,Java'<!sp>10:26<!sp>拉勾网<!sp>'五险一金,休闲餐点,员工聚餐'<!sp>'设计能力'<!sp>武汉 - 东湖新技术开发区 - 武汉力源信息技术股份有限公司（金融港对面）
1Token.Trade技术部<!sp>python 开发工程师<!sp>10k-20k<!sp>上海<!sp>经验1-3年<!sp>'分布式,python,金融'<!sp>10:14<!sp>拉勾网<!sp>'时间自由,技术先进,区块链'<!sp>''<!sp>上海 - 杨浦区 - 长阳路 - 长阳路1687号长阳谷1号楼1408室
爱咔咔研发部<!sp>Python工程师<!sp>15k-30k<!sp>北京<!sp>经验3-5年<!sp>'Python,c#,C++,Java'<!sp>09:23<!sp>拉勾网<!sp>'北大团队,五百强大牛,期权奖励,专业培训'<!sp>'文案能力,设计能力,执行能力,逻辑思维能力,团队协作能力,专业素质良好,沟通表达能力,学习能力,主动性,抗压能力,思想品质'<!sp>北京 - 海淀区 - 上地 - 京市上地四街8号华成大厦506
绿盟科技ROS<!sp>python开发工程师<!sp>8k-10k<!sp>西安<!sp>经验3-5年<!sp>'Python,信息安全,Java'<!sp>08:49<!sp>拉勾网<!sp>'五险一金,弹性工作,餐补,定期体检'<!sp>'设计能力,专业素质良好,逻辑思维能力,主动性,责任心,沟通表达能力,学习能力,团队协作能力,文案能力'<!sp>西安 - 雁塔区 - 雁塔区丈八四路神州数码科技园1栋8层
瞬联软件科技（北京）有限公司R&D<!sp>Python软件开发工程师<!sp>10k-15k<!sp>上海<!sp>经验1-3年<!sp>'Python,linux,通信,软件开发,后端开发'<!sp>17:50<!sp>拉勾网<!sp>'五险一金,带薪年假,弹性工作,氛围自由'<!sp>''<!sp>上海 - 长宁区 - 北新泾 - 天山西路1068号（地铁2号线淞虹路站5号口出）
极验<!sp>Python（极验验证）<!sp>9k-18k<!sp>武汉<!sp>经验3-5年<!sp>'工具软件'<!sp>15:55<!sp>拉勾网<!sp>'双休+弹性工作制+五险一金+餐补'<!sp>'团队协作能力,常用办公软件的使用'<!sp>- 书城路文秀街10号2号门8楼
