Udesk－企业级智能客服平台销售部<!sp>商务总监<!sp>10k-20k<!sp>上海<!sp>经验5-10年<!sp>'总监,商务'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,13薪,餐补,话补,交通补助,体检'<!sp>'团队协作能力,沟通表达能力,专业素质良好,领导能力,抗压能力'<!sp>上海 - 普陀区 - 长征 - 金沙江路1628弄1号1908室
爱拍原创欢拓<!sp>商务总监<!sp>10k-20k<!sp>广州<!sp>经验1-3年<!sp>'总监,销售,市场,商务拓展'<!sp>1天前<!sp>拉勾网<!sp>'股票期权,五险一金'<!sp>'团队协作能力,沟通表达能力,主动性,逻辑思维能力,服务意识,抗压能力,亲和力,形象气质佳,领悟能力'<!sp>广州 - 天河区 - 棠下 - 天河软件园（科韵路数码港附近）建工路59号柏朗奴大厦2楼
Joydream<!sp>商务总监<!sp>15k-30k<!sp>深圳<!sp>经验3-5年<!sp>'商务'<!sp>11:21<!sp>拉勾网<!sp>'分红,股权激励,团队活动'<!sp>'团队协作能力,逻辑思维能力,执行能力,人脉资源,沟通表达能力,开拓精神,英语基础'<!sp>深圳 - 南山区 - 科技园 - 深南大道9996号松日鼎盛大厦
金科文化商务中心<!sp>商务总监<!sp>15k-30k<!sp>广州<!sp>经验5-10年<!sp>'媒体,游戏,总监,运营,渠道,手游'<!sp>2天前<!sp>拉勾网<!sp>'游戏,商务,渠道'<!sp>'逻辑思维能力,团队协作能力,沟通表达能力,人脉资源,领悟能力,抗压能力,专业素质良好,责任心'<!sp>广州 - 天河区 - 车陂路113号东宏国际广场10层1002
火星网络棋牌事业部<!sp>商务总监<!sp>10k-20k<!sp>深圳<!sp>经验1-3年<!sp>'游戏,策划,市场,棋牌'<!sp>09:57<!sp>拉勾网<!sp>'环境好,福利多'<!sp>'执行能力,团队协作能力,领导能力,专业素质良好,开拓精神,责任心,沟通表达能力,思想品质'<!sp>深圳 - 南山区 - 科技园 - 科技园高新南七道豪威科技大厦19F-B
征途畅玩商务部<!sp>商务总监<!sp>10k-20k<!sp>深圳<!sp>经验5-10年<!sp>'游戏,策划,总监,市场,市场推广,医疗健康'<!sp>1天前<!sp>拉勾网<!sp>'5天7小时,配套公寓,弹性制上班,零食管够'<!sp>'执行能力,团队协作能力,领导能力,专业素质良好,开拓精神,责任心,沟通表达能力,思想品质'<!sp>深圳 - 宝安区 - 新安 - 新安街道办留仙二路中粮商务公园3栋506
百灵鸟<!sp>商务总监-上海-01230<!sp>12k-16k<!sp>上海<!sp>经验5-10年<!sp>'体育运动,总监,地推,市场拓展,商务拓展'<!sp>09:35<!sp>拉勾网<!sp>'福利待遇佳'<!sp>'沟通表达能力,开拓精神,团队协作能力,服务意识,人脉资源,逻辑思维能力,执行能力,抗压能力'<!sp>上海 - 黄浦区 - 外滩 - 工商联大厦
快牛金科风控中心<!sp>商务总监<!sp>25k-35k<!sp>上海<!sp>经验5-10年<!sp>'总监,大数据,数据分析,商务拓展'<!sp>1天前<!sp>拉勾网<!sp>'补充医疗保险,商业保险,年终超多绩效'<!sp>'沟通表达能力,团队协作能力,熟悉法律法规,逻辑思维能力,设计能力,钻研能力,人脉资源,专业素质良好,领悟能力,责任心,抗压能力,执行能力,能出差,创新能力'<!sp>上海 - 长宁区 - 北新泾 - 明基商务广场 B座4楼
数字尾巴商务部<!sp>商务总监/商务经理<!sp>8k-12k<!sp>深圳<!sp>经验3-5年<!sp>'总监,商务,经理,商务拓展'<!sp>09:56<!sp>拉勾网<!sp>'五险一金,弹性工作,股票期权,商务提成'<!sp>'沟通表达能力,专业素质良好,团队协作能力,钻研能力,创新能力,开拓精神,人脉资源,逻辑思维能力,领导能力,性格好,抗压能力,应变能力'<!sp>深圳 - 南山区 - 蛇口 - 工业四路蛇口网谷万海大厦401-402
云牛时代商务中心<!sp>商务总监<!sp>10k-15k<!sp>北京<!sp>经验5-10年<!sp>'总监,副总裁,商务,商务拓展'<!sp>2天前<!sp>拉勾网<!sp>'办公环境好,称薪如意,平台好,福利好'<!sp>'钻研能力,团队协作能力,沟通表达能力,专业素质良好,执行能力,领导能力,公关能力,领悟能力,责任心,抗压能力'<!sp>北京 - 朝阳区 - 朝外 - 朝阳区下甸甲3号院尚8国际广告园E405
