赢时胜软件深圳市赢时胜信息技术股份有限公司<!sp>白盒测试<!sp>10k-15k<!sp>长沙<!sp>经验3-5年<!sp>'后端开发'<!sp>1天前<!sp>拉勾网<!sp>'优秀团队,带薪年假'<!sp>'文案能力'<!sp>长沙市 - 芙蓉区 - 十六铺 - 长沙
海能达测试部<!sp>软件测试工程师<!sp>8k-13k<!sp>哈尔滨<!sp>经验3-5年<!sp>'高级,自动化,linux,测试,白盒,性能测试'<!sp>1天前<!sp>拉勾网<!sp>'白盒测试,系统测试,集成测试'<!sp>'设计能力,逻辑思维能力,文案能力,执行能力,专业素质良好'<!sp>哈尔滨 - 松北区 - 世茂大道 - 天翔街188号【哈尔滨市政府西侧】
石墨研发部<!sp>测试工程师/高级测试工程师<!sp>8k-15k<!sp>武汉<!sp>经验1-3年<!sp>'测试,自动化'<!sp>1天前<!sp>拉勾网<!sp>'硅谷文化,技术氛围浓,牛人云集,福利完善'<!sp>'领悟能力,文案能力,专业素质良好,逻辑思维能力,沟通表达能力,学习能力,钻研能力'<!sp>武汉 - 洪山区 - 关山 - 汉市东湖开发区关山大道特一号光谷软件园
泛微<!sp>测试<!sp>8k-10k<!sp>上海<!sp>经验1-3年<!sp>'测试'<!sp>2天前<!sp>拉勾网<!sp>'员工旅游,工作日美味三餐,舒心的工作氛围'<!sp>'设计能力,逻辑思维能力,执行能力,文案能力,思想品质,责任心,学习能力,熟悉法律法规'<!sp>- 耀华支路39弄9号泛微软件大厦（济明路和通耀路交叉口）
北京盛安德上海分公司<!sp>测试<!sp>10k-15k<!sp>杭州<!sp>经验3-5年<!sp>'IT技术支持,功能测试,信息安全,OpenStack'<!sp>1天前<!sp>拉勾网<!sp>'阿里巴巴工作,云产品测试'<!sp>'良好的职业背景'<!sp>杭州 - 西湖区 - 云栖小镇
广州李子网络科技有限公司技术部<!sp>测试<!sp>6k-12k<!sp>广州<!sp>经验1-3年<!sp>'测试'<!sp>2天前<!sp>拉勾网<!sp>'弹性工作制,颜值高,气氛好,福利多'<!sp>'团队协作能力,领导能力,文案能力,执行能力,领悟能力,设计能力,专业素质良好,沟通表达能力'<!sp>广州市市市 - 天河区 - 沙河 - 花城大道68号环球都会广场4706
耀盛中国技术中心<!sp>性能测试<!sp>15k-18k<!sp>北京<!sp>经验3-5年<!sp>'python,金融,性能测试,Java,测试'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,补助,绩效奖金,年终奖'<!sp>'抗压能力,领导能力,执行能力,逻辑思维能力,文案能力,团队协作能力,服务意识,专业素质良好,责任心,沟通表达能力'<!sp>北京 - 朝阳区 - 大望路 - 通惠河北路郎园Vintage 2号楼A座2层
骏嘉财通售后部<!sp>软件测试<!sp>4k-6k<!sp>青岛<!sp>经验1-3年<!sp>'初级,ERP,技术支持,测试,售后'<!sp>1天前<!sp>拉勾网<!sp>'带薪年假,提供住宿,交通便利,系统培训'<!sp>'形象气质佳,学习能力,沟通表达能力,执行能力'<!sp>青岛市南区：江西路78号华普会馆
小狗在家<!sp>测试<!sp>9k-18k<!sp>上海<!sp>经验3-5年<!sp>'自动化,测试,白盒,黑盒,性能测试,压力测试'<!sp>1天前<!sp>拉勾网<!sp>'股权期权,可带宠物上班,团队好'<!sp>'文案能力,逻辑思维能力,设计能力,学习能力,抗压能力,责任心,思想品质,团队协作能力'<!sp>上海 - 徐汇区 - 田林 - 田林路140号
远传技术云客服产品部<!sp>测试工程师<!sp>7k-12k<!sp>杭州<!sp>经验3-5年<!sp>'QA,移动端,测试,信息安全'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,餐补,年终奖金,定期体检'<!sp>'逻辑思维能力,设计能力,执行能力,沟通表达能力,抗压能力,专业素质良好,文案能力,主动性,思想品质,责任心,团队协作能力'<!sp>杭州市市市 - 滨江区 - 江南 - 信诚路857号世茂中心23楼
阳光保险集团未来中心<!sp>测试工程师<!sp>8k-15k<!sp>北京<!sp>经验3-5年<!sp>'专家,测试,自动化'<!sp>1天前<!sp>拉勾网<!sp>'福利待遇好,发展前景优'<!sp>'逻辑思维能力,设计能力,专业素质良好,学习能力,抗压能力'<!sp>北京 - 通州区 - 永顺 - 永顺镇潞苑北大街阳光保险C座一层
