赢时胜软件深圳市赢时胜信息技术股份有限公司<!sp>白盒测试<!sp>10k-15k<!sp>长沙<!sp>经验3-5年<!sp>'后端开发'<!sp>1天前<!sp>拉勾网<!sp>'优秀团队,带薪年假'<!sp>'文案能力'<!sp>长沙市 - 芙蓉区 - 十六铺 - 长沙
泛微<!sp>测试工程师<!sp>6k-8k<!sp>上海<!sp>经验1-3年<!sp>'web,黑盒,测试'<!sp>1天前<!sp>拉勾网<!sp>'包三餐,黄金季黄金奖,优秀员工国外游'<!sp>'设计能力,逻辑思维能力,执行能力,文案能力,思想品质,责任心,学习能力'<!sp>上海 - 闵行区 - 浦江 - 上海市闵行区联航路1188号33号楼泛微软件大厦
创酷互动开发部<!sp>测试主管<!sp>10k-15k<!sp>广州<!sp>经验5-10年<!sp>'资深,自动化,QA,测试,功能测试,性能测试'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,员工旅游,下午茶,周末双休'<!sp>'团队协作能力,逻辑思维能力,设计能力,执行能力,专业素质良好,责任心,思想品质,钻研能力'<!sp>广州 - 天河区 - 员村 - 天河软件园建中路66号佳都商务大厦601-602室
家园网质量保障部<!sp>性能测试工程师<!sp>14k-20k<!sp>北京<!sp>经验3-5年<!sp>'python,测试,Java,脚本'<!sp>1天前<!sp>拉勾网<!sp>'股票期权,绩效奖金'<!sp>'设计能力,逻辑思维能力,学习能力,文案能力'<!sp>北京 - 东城区 - 广渠门 - 首东国际A座金色家园网
文脉互动测试部<!sp>QA测试<!sp>8k-13k<!sp>北京<!sp>经验1-3年<!sp>'手游,测试,游戏策划'<!sp>1天前<!sp>拉勾网<!sp>'五险一金下午茶定期体检'<!sp>'文案能力,逻辑思维能力,思想品质,责任心,团队协作能力'<!sp>北京 - 朝阳区 - 酒仙桥 - 酒仙桥路4号宏源大厦12层-1201
江苏亿科达平安付<!sp>测试工程师<!sp>8k-10k<!sp>上海<!sp>经验1-3年<!sp>'初级,QA,测试,自动化'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,过节费,旅游,体检'<!sp>''<!sp>上海 - 徐汇区 - 龙华 - 凯滨路206号
梦映动漫技术组<!sp>测试工程师<!sp>5k-10k<!sp>广州<!sp>经验1-3年<!sp>'移动互联网,自动化,自动化测试工具,测试,功能测试,性能测试'<!sp>1天前<!sp>拉勾网<!sp>'免费健身房,帅锅美女多,项目杠杠的,周末双休'<!sp>'设计能力,文案能力,执行能力,专业素质良好,逻辑思维能力,思想品质,抗压能力,沟通表达能力,团队协作能力'<!sp>广州 - 海珠区 - 新港东路51号北岛创意园B4栋2楼
苏宁云商<!sp>测试工程师<!sp>8k-15k<!sp>南京<!sp>经验3-5年<!sp>'银行,linux,测试,脚本'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,年底四薪,福利多多'<!sp>'执行能力,设计能力,文案能力,逻辑思维能力,钻研能力,沟通表达能力'<!sp>南京 - 玄武区 - 仙林 - 苏宁大道1号
华云数据<!sp>测试工程师<!sp>7k-10k<!sp>无锡<!sp>经验1-3年<!sp>'QA,测试,Java,脚本'<!sp>1天前<!sp>拉勾网<!sp>'云计算,绩效奖金,年终奖'<!sp>'逻辑思维能力,文案能力,执行能力,主动性,团队协作能力,沟通表达能力,设计能力,专业素质良好,责任心,思想品质'<!sp>无锡 - 滨湖区 - 雪浪 - 慧泽路科教软件园B区6号楼
恒天软件安徽恒天广行项目组<!sp>软件测试<!sp>4k-7k<!sp>合肥<!sp>经验1-3年<!sp>'本地生活,初级,测试,黑盒,功能测试,性能测试'<!sp>2天前<!sp>拉勾网<!sp>'五险一金,周末双休,商业保险,带薪年假'<!sp>'思想品质,专业素质良好,学习能力,英语基础'<!sp>合肥 - 高新区 - 望江西路800号动漫基地
什么值得买技术中心<!sp>测试工程师<!sp>7k-9k<!sp>青岛<!sp>经验1-3年<!sp>'测试,自动化'<!sp>2天前<!sp>拉勾网<!sp>'六险一金,周末双休,十三薪,年终奖'<!sp>'逻辑思维能力'<!sp>青岛 - 市北区 - 延吉路 - 徐州路158号新凯达大厦5层
舟恩信息技术部<!sp>测试<!sp>8k-15k<!sp>上海<!sp>经验3-5年<!sp>'数据库,功能测试,Java,测试,脚本'<!sp>2018-01-17<!sp>拉勾网<!sp>'五险一金,年底双薪,节日福利,优秀团队'<!sp>'专业素质良好,领悟能力,逻辑思维能力,文案能力,抗压能力,责任心,沟通表达能力,学习能力,团队协作能力'<!sp>上海 - 徐汇区 - 龙华 - 龙华中路地铁站附近
神州信息<!sp>测试工程师<!sp>7k-14k<!sp>深圳<!sp>经验1-3年<!sp>'测试'<!sp>1天前<!sp>拉勾网<!sp>'13薪,试用期薪资不打折、五险一金'<!sp>'专业素质良好'<!sp>深圳 - 南山区 - 科技园 - 高新科技园
亿腾平安财产保险<!sp>测试工程师<!sp>8k-12k<!sp>深圳<!sp>经验3-5年<!sp>'web,测试,功能测试'<!sp>1天前<!sp>拉勾网<!sp>'数据库'<!sp>''<!sp>深圳 - 福田区 - 平安金融大厦，购物公园地铁口D出口
浙江执御信息技术有限公司技术部<!sp>移动端测试<!sp>13k-18k<!sp>杭州<!sp>经验3-5年<!sp>'APP测试,测试,移动端测试,电商'<!sp>1天前<!sp>拉勾网<!sp>'上升发展,规范化,平台化,技术氛围'<!sp>'逻辑思维能力,设计能力,执行能力,创新能力,团队协作能力,主动性,钻研能力,文案能力'<!sp>杭州 - 拱墅区 - 三墩 - 祥茂路2号影天印业园区1幢3楼
纷享销客深圳研发中心<!sp>测试开发工程师<!sp>12k-18k<!sp>深圳<!sp>经验3-5年<!sp>'中级,web,自动化,测试,app,Java'<!sp>1天前<!sp>拉勾网<!sp>'六险一金,扁平化管理,氛围好,双休'<!sp>'文案能力,设计能力,抗压能力,沟通表达能力,团队协作能力'<!sp>深圳 - 南山区 - 铜鼓路大冲国际中心22层
泛微EBU事业本部<!sp>测试工程师<!sp>6k-10k<!sp>上海<!sp>经验1-3年<!sp>'功能测试,Java,测试'<!sp>1天前<!sp>拉勾网<!sp>'免费三餐,上市公司,薪资福利好'<!sp>'执行能力,设计能力,专业素质良好,逻辑思维能力,文案能力,领悟能力,沟通表达能力,学习能力,团队协作能力'<!sp>上海 - 闵行区 - 联航路1188弄浦江智谷33号楼
家园网质量保障部<!sp>性能测试工程师<!sp>14k-22k<!sp>北京<!sp>经验3-5年<!sp>'python,性能测试,Java,测试,脚本'<!sp>1天前<!sp>拉勾网<!sp>'股票期权,绩效奖金'<!sp>'设计能力,逻辑思维能力,学习能力,文案能力'<!sp>北京 - 东城区 - 广渠门 - 首东国际A座金色家园网
江苏亿科达上海连享网络科技有限公司<!sp>测试工程师<!sp>8k-12k<!sp>上海<!sp>经验3-5年<!sp>'中级,测试'<!sp>1天前<!sp>拉勾网<!sp>'体检,旅游,过节费,年终奖'<!sp>'服务意识'<!sp>上海市 - 浦东新区 - 张江 - 张衡路666号盛大全球研发中心8楼
微创ITO Shenzhen<!sp>测试系统开发工程师（赴微软）<!sp>15k-30k<!sp>苏州<!sp>经验10年以上<!sp>'C/C++,windows,C#/.NET,系统开发'<!sp>1天前<!sp>拉勾网<!sp>'微软工作,开发团队,外企文化,英文环境'<!sp>''<!sp>苏州 - 高新区 - 微软
浙江执御信息技术有限公司测试部门<!sp>测试工程师<!sp>15k-30k<!sp>杭州<!sp>经验3-5年<!sp>'测试'<!sp>1天前<!sp>拉勾网<!sp>'扁平化管理,年终奖金,各种福利,旅游度假'<!sp>'逻辑思维能力,设计能力,执行能力,创新能力,团队协作能力,主动性,钻研能力,文案能力'<!sp>杭州市 - 拱墅区 - 三墩 - 祥茂路2号影天印业园区1幢3楼
瞬联软件科技（北京）有限公司<!sp>系统测试<!sp>12k-20k<!sp>上海<!sp>经验不限<!sp>'系统,性能测试,测试'<!sp>1天前<!sp>拉勾网<!sp>'欧美世界500强,五险一金,带薪假14天'<!sp>'良好的职业背景'<!sp>上海 - 长宁区 - 天山西路1068号
沐融科技交付中心<!sp>测试专员<!sp>6k-9k<!sp>上海<!sp>经验1-3年<!sp>'金融,支付,初级,测试'<!sp>1天前<!sp>拉勾网<!sp>'工作氛围好,个人价值'<!sp>'领悟能力'<!sp>上海 - 普陀区 - 长征 - 金沙江路1678号绿洲中环中心
无忧帮帮研发中心<!sp>测试工程师<!sp>4k-7k<!sp>中山<!sp>经验1-3年<!sp>'app,信息安全,Java,测试,脚本,自动化'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,双休,期权,年终奖'<!sp>'专业素质良好,逻辑思维能力,设计能力,思想品质,沟通表达能力,文案能力'<!sp>中山 - 中山市市辖区 - 东区中山五路弘业大厦1606室
远传技术云客服产品部<!sp>测试工程师<!sp>7k-12k<!sp>杭州<!sp>经验3-5年<!sp>'自动化,QA,测试,app,功能测试,信息安全'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,餐补,年终奖金,定期体检'<!sp>'逻辑思维能力,设计能力,执行能力,沟通表达能力,抗压能力,专业素质良好,文案能力,主动性,思想品质,责任心,团队协作能力'<!sp>杭州 - 滨江区 - 江南 - 信诚路857号世茂中心23楼
湖南拜伦网络科技有限公司技术部<!sp>测试工程师<!sp>7k-12k<!sp>长沙<!sp>经验3-5年<!sp>'Java,旅游,测试,脚本,自动化'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,年终奖,带薪年假,餐补交补'<!sp>'团队协作能力,沟通表达能力,服务意识,专业素质良好'<!sp>长沙 - 岳麓区 - 麓谷 - 高新开发区
丁香园专业服务部<!sp>测试工程师<!sp>7k-14k<!sp>杭州<!sp>经验1-3年<!sp>'测试,Java,脚本,自动化'<!sp>1天前<!sp>拉勾网<!sp>'工作环境好'<!sp>'逻辑思维能力,文案能力,执行能力,设计能力,抗压能力,思想品质,责任心'<!sp>杭州市市市 - 滨江区 - 长河 - 江虹路 611 号上峰电商产业园3号楼3楼
新移传媒测试部<!sp>测试工程师<!sp>7k-10k<!sp>杭州<!sp>经验1-3年<!sp>'媒体,中级,初级,app,功能测试,测试'<!sp>1天前<!sp>拉勾网<!sp>'央媒平台,团队给力,福利多多,环境制霸'<!sp>'设计能力,文案能力,逻辑思维能力,专业素质良好,领悟能力,沟通表达能力,团队协作能力,思想品质'<!sp>杭州 - 上城区 - 南星 - 山南基金小镇白云路28号(杭州陶瓷品市场/八卦田)
云象网络研发部<!sp>测试工程师<!sp>12k-15k<!sp>杭州<!sp>经验1-3年<!sp>'资深,高级,测试,功能测试,性能测试,接口'<!sp>1天前<!sp>拉勾网<!sp>'技术大牛,年终丰厚,免费工作餐,五险一金'<!sp>'文案能力,设计能力,执行能力,逻辑思维能力'<!sp>杭州 - 余杭区 - 仓前 - 海创科技中心2幢301
疯狂老师信息事业部<!sp>测试工程师<!sp>8k-10k<!sp>厦门<!sp>经验1-3年<!sp>'直播,高级,中级,测试,功能测试'<!sp>1天前<!sp>拉勾网<!sp>'弹性工作制,高薪双休,多种福利'<!sp>'设计能力,文案能力,专业素质良好,团队协作能力,逻辑思维能力,责任心,领悟能力,主动性,沟通表达能力,学习能力,服务意识,良好的职业背景,常用办公软件的使用'<!sp>厦门市市市 - 思明区 - 开元 - 文屏路14号文屏大厦3楼
网宿科技美国子公司<!sp>测试工程师<!sp>10k-15k<!sp>厦门<!sp>经验1-3年<!sp>'Java,架构'<!sp>1天前<!sp>拉勾网<!sp>'上市公司,互联网行业,平台大,薪酬福利好'<!sp>'设计能力,专业素质良好,团队协作能力,执行能力,文案能力,领导能力,服务意识,沟通表达能力,主动性'<!sp>厦门 - 思明区 - 宝业大厦
泛微泛微<!sp>性能测试<!sp>6k-10k<!sp>上海<!sp>经验1-3年<!sp>'高级,中级,linux,性能测试,测试,脚本'<!sp>1天前<!sp>拉勾网<!sp>'上市公司,免费三餐,员工旅游,半年调薪'<!sp>'设计能力,专业素质良好,文案能力,逻辑思维能力,抗压能力,执行能力,常用办公软件的使用,责任心'<!sp>上海市 - 闵行区 - 浦江 - 联航路1188弄浦江智谷33号楼
家园网<!sp>测试工程师<!sp>10k-15k<!sp>北京<!sp>经验3-5年<!sp>'测试'<!sp>1天前<!sp>拉勾网<!sp>'免费水果咖啡,免费休息区茶吧,各种补助'<!sp>'逻辑思维能力,文案能力,沟通表达能力,执行能力,团队协作能力'<!sp>北京 - 东城区 - 广渠门 - 首东国际A座
江苏亿科达平安银行<!sp>测试工程师<!sp>8k-12k<!sp>上海<!sp>经验1-3年<!sp>'QA,移动端,测试,接口,自动化'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,体检、旅游,生日礼金,过节福利'<!sp>''<!sp>上海 - 徐汇区 - 斜土路 - 龙华中路凯滨路206号
远传技术众包运营中心<!sp>测试工程师<!sp>8k-15k<!sp>杭州<!sp>经验3-5年<!sp>'中级,测试,app,功能测试,脚本,自动化'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,餐补,年终奖金,定期体检'<!sp>'专业素质良好,执行能力,团队协作能力,文案能力,设计能力,抗压能力,沟通表达能力,学习能力,领导能力'<!sp>杭州 - 滨江区 - 长河 - 东流路1805号格林费尔园区B楼
舟恩信息技术服务部<!sp>测试<!sp>9k-15k<!sp>上海<!sp>经验3-5年<!sp>'测试,Java,自动化'<!sp>2天前<!sp>拉勾网<!sp>'互联网,金融,大型项目'<!sp>'逻辑思维能力,设计能力,文案能力,思想品质'<!sp>上海 - 徐汇区 - 龙华 - 龙华中路
新核云产品部门<!sp>测试工程师<!sp>6k-10k<!sp>上海<!sp>经验1-3年<!sp>'测试'<!sp>1天前<!sp>拉勾网<!sp>'年轻团队,弹性工作,扁平管理'<!sp>''<!sp>上海 - 徐汇区 - 斜土路 - 中山南二路107号美奂大厦8层
骏嘉财通售后部<!sp>测试工程师<!sp>4k-6k<!sp>青岛<!sp>经验1-3年<!sp>'硬件制造,初级,技术支持,大数据,运维,测试'<!sp>1天前<!sp>拉勾网<!sp>'系统培训,提供住宿,交通便利,跨国集团'<!sp>'专业素质良好,文案能力,领悟能力,学习能力,沟通表达能力,责任心,团队协作能力'<!sp>青岛市南区：江西路78号华普会馆
享贞科技技术部<!sp>软件测试<!sp>10k-20k<!sp>杭州<!sp>经验3-5年<!sp>'系统,app,信息安全,测试,脚本,自动化'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,双休,期权,0-1创业'<!sp>'文案能力,执行能力,逻辑思维能力,主动性,设计能力,钻研能力,专业素质良好,沟通表达能力,领悟能力,应变能力,团队协作能力'<!sp>杭州 - 余杭区 - 欧美金融城5号楼美国中心2204-2206
浙江执御信息技术有限公司技术部<!sp>软件测试工程师<!sp>13k-20k<!sp>杭州<!sp>经验3-5年<!sp>'linux,测试,信息安全,Java'<!sp>1天前<!sp>拉勾网<!sp>'技术氛围好,规范化,扁平化管理,上升发展期'<!sp>'逻辑思维能力,服务意识,专业素质良好,执行能力,钻研能力,主动性,沟通表达能力,抗压能力,设计能力,团队协作能力,思想品质'<!sp>杭州 - 拱墅区 - 三墩 - 祥茂路2号影天印业园区1幢3楼
美的生活电器智能化产品<!sp>测试工程师<!sp>8k-15k<!sp>佛山<!sp>经验1-3年<!sp>'测试'<!sp>1天前<!sp>拉勾网<!sp>'大假福利,旅游补贴,车补房补'<!sp>'设计能力,文案能力'<!sp>佛山 - 顺德区 - 北滘 - 北滘镇三乐路19号
驻云测试团队<!sp>测试工程师<!sp>10k-20k<!sp>上海<!sp>经验3-5年<!sp>'QA,测试,自动化'<!sp>1天前<!sp>拉勾网<!sp>'平台大,发展快'<!sp>'沟通表达能力,逻辑思维能力,专业素质良好,文案能力,抗压能力,主动性,团队协作能力,思想品质'<!sp>上海 - 浦东新区 - 张江 - 上海市浦东新区科苑路399号张江创新园7号楼
包银消费金融信息科技部<!sp>测试工程师J10050<!sp>15k-25k<!sp>北京<!sp>经验1-3年<!sp>'移动互联网,金融,测试,Java,自动化'<!sp>1天前<!sp>拉勾网<!sp>'六险一金,带薪年假,定期团建,节日福利'<!sp>'文案能力,抗压能力,逻辑思维能力,学习能力,沟通表达能力,团队协作能力,设计能力,执行能力'<!sp>北京 - 朝阳区 - 北四环东路干杨树甲16号首华大厦9层
泰为QA<!sp>测试工程师<!sp>10k-18k<!sp>上海<!sp>经验3-5年<!sp>'QA,汽车,黑盒,测试,脚本,自动化'<!sp>1天前<!sp>拉勾网<!sp>'黑盒测试,上市公司,外资公司,英文环境'<!sp>'设计能力,文案能力,专业素质良好,执行能力,有车,逻辑思维能力,领悟能力,主动性,责任心,沟通表达能力,团队协作能力,英语基础'<!sp>上海 - 长宁区 - 古北 - 仙霞路333号东方维京大厦
云集微店研发中心<!sp>测试工程师<!sp>10k-15k<!sp>深圳<!sp>经验3-5年<!sp>'ERP,测试,功能测试,电商,系统开发'<!sp>1天前<!sp>拉勾网<!sp>'erp'<!sp>''<!sp>深圳市市市 - 宝安区 - 西乡 - 西乡街道共和工业路107号华丰互联网+创意园A630
北京辰森世纪科技股份有限公司技术中心<!sp>测试工程师<!sp>6k-12k<!sp>济南<!sp>经验1-3年<!sp>'web,测试,系统,功能测试,压力测试,回归测试'<!sp>2天前<!sp>拉勾网<!sp>'绩效奖金,年终丰厚,阿里系,技术大牛'<!sp>'设计能力,逻辑思维能力,文案能力'<!sp>济南市市市 - 历下区 - 泉城广场 - 泉城路永安大厦901
泛微<!sp>软件测试<!sp>8k-12k<!sp>上海<!sp>经验1-3年<!sp>'软件,测试'<!sp>2天前<!sp>拉勾网<!sp>'员工旅游,工作日美味三餐,舒心的工作氛围'<!sp>'设计能力,逻辑思维能力,执行能力,文案能力,思想品质,责任心,学习能力,熟悉法律法规'<!sp>上海 - 闵行区 - 浦江 - 上海闵行区联航路1188号浦江智谷33号楼
江苏亿科达平安金科<!sp>测试工程师<!sp>9k-12k<!sp>上海<!sp>经验3-5年<!sp>'中级,Java,web,功能测试,性能测试,接口'<!sp>1天前<!sp>拉勾网<!sp>'体检,旅游,年终,过节费'<!sp>'专业素质良好,抗压能力,工作激情,团队协作能力'<!sp>上海市 - 徐汇区 - 龙华 - 凯滨路206号
舟恩信息技术服务部<!sp>测试<!sp>9k-15k<!sp>杭州<!sp>经验3-5年<!sp>'python,测试,黑盒,app,脚本'<!sp>2天前<!sp>拉勾网<!sp>'大型项目,自动化'<!sp>'专业素质良好,领悟能力,逻辑思维能力,文案能力,抗压能力,责任心,沟通表达能力,学习能力,团队协作能力'<!sp>杭州市 - 滨江区 - 西兴 - 滨江
链家上海研发中心<!sp>测试工程师<!sp>8k-15k<!sp>上海<!sp>经验1-3年<!sp>'测试'<!sp>1天前<!sp>拉勾网<!sp>'万亿级O2O平台,一年两次调薪,季度奖金'<!sp>'良好的职业背景,专业素质良好,逻辑思维能力,主动性,责任心'<!sp>- 南京西路699号东方有线大厦30楼
老虎证券研发部<!sp>测试开发工程师<!sp>15k-30k<!sp>北京<!sp>经验3-5年<!sp>'高级,中级,金融,Java,测试,自动化'<!sp>1天前<!sp>拉勾网<!sp>'六险一金,带薪年假,绩效奖金,发展空间大'<!sp>'专业素质良好,逻辑思维能力,设计能力,执行能力,创新能力,服务意识,领悟能力,应变能力,团队协作能力'<!sp>北京 - 朝阳区 - 燕莎 - 东三环北路3号中远幸福大厦
博云测试部<!sp>测试工程师<!sp>10k-15k<!sp>上海<!sp>经验3-5年<!sp>'python,测试,脚本'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,带薪年假,弹性工作,节日福利'<!sp>'文案能力'<!sp>上海市 - 浦东新区 - 唐镇 - 唐镇顾唐路1699号
恒逸石化信息管理部<!sp>测试工程师<!sp>8k-10k<!sp>杭州<!sp>经验1-3年<!sp>'游戏,测试,脚本,自动化'<!sp>1天前<!sp>拉勾网<!sp>'餐补,房补,薪资高'<!sp>'领悟能力,逻辑思维能力,文案能力,主动性,团队协作能力,沟通表达能力'<!sp>杭州 - 萧山区 - 市心北路 - 浙江省杭州萧山经济技术开发区市心北路260号恒逸·南岸明珠
360企业安全<!sp>3. 测试工程师（QA）（北京）<!sp>15k-30k<!sp>北京<!sp>经验3-5年<!sp>'高级,web,测试,功能测试,安全测试,信息安全'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,弹性工作,餐饮补贴,节日福利'<!sp>'设计能力,执行能力,逻辑思维能力,文案能力,钻研能力,专业素质良好,沟通表达能力'<!sp>北京 - 朝阳区 - 酒仙桥 - 国际电子总部-360大厦
云账户技术部<!sp>资深测试工程师<!sp>20k-30k<!sp>北京<!sp>经验5-10年<!sp>'资深,金融,自动化,性能测试,安全测试,信息安全'<!sp>1天前<!sp>拉勾网<!sp>'牛人共事,工程师文化,福利待遇好'<!sp>'团队协作能力,抗压能力,服务意识,思想品质,设计能力'<!sp>北京 - 朝阳区 - 望京 - 望京soho塔T1A座2005室
杭州高锦研发部<!sp>测试工程师<!sp>10k-15k<!sp>杭州<!sp>经验不限<!sp>'信息安全,测试'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,期权激励,免费用餐等'<!sp>'逻辑思维能力,执行能力,团队协作能力,专业素质良好,文案能力,抗压能力,责任心,性格好'<!sp>杭州 - 下沙 - 下沙 - 和茂大厦
家园网<!sp>测试工程师<!sp>10k-15k<!sp>北京<!sp>经验3-5年<!sp>'测试'<!sp>1天前<!sp>拉勾网<!sp>'福利好,领导好,团队好,发展空间大'<!sp>'设计能力,文案能力,执行能力,专业素质良好,主动性,团队协作能力'<!sp>北京 - 东城区 - 广渠门 - 广渠家园5号楼首东国际A座7层
武汉佰钧成技术有限公司信用征信系统<!sp>测试工程师<!sp>9k-13k<!sp>南京<!sp>经验1-3年<!sp>'自动化,测试'<!sp>2天前<!sp>拉勾网<!sp>'金融行业,技术前沿,加班少,小长假多'<!sp>''<!sp>南京 - 建邺区 - 兴隆 - 江东中路228号（华泰证券广场4号楼）
斯诺物联测试<!sp>软件测试员<!sp>3k-6k<!sp>镇江<!sp>经验1-3年<!sp>'软件,测试'<!sp>2天前<!sp>拉勾网<!sp>'双休,餐补,节日福利,年终奖,定期旅游'<!sp>'文案能力,逻辑思维能力'<!sp>镇江 - 京口区 - 经十二路468号科技研发双子楼A座509室
恒天软件安徽广行项目组<!sp>软件测试<!sp>5K-7K<!sp>合肥<!sp>经验1-3年<!sp>'中级,初级,测试,黑盒,功能测试,性能测试'<!sp>2天前<!sp>拉勾网<!sp>'六险一金周末双休年终奖金节日福利'<!sp>'思想品质,专业素质良好,学习能力,英语基础'<!sp>合肥 - 高新区 - - 望江西路800号高新园区C4栋
杭州趣编技术部<!sp>软件测试工程师<!sp>6k-8k<!sp>杭州<!sp>经验1-3年<!sp>'功能测试,测试,脚本,自动化'<!sp>1天前<!sp>拉勾网<!sp>'职位晋升,团队大牛,双休,年终奖丰厚'<!sp>'设计能力,执行能力,文案能力,逻辑思维能力,专业素质良好,沟通表达能力,学习能力'<!sp>杭州 - 下城区 - 东新路 - 绍兴路351号华洲创业大楼306
泛微泛微<!sp>软件测试工程师<!sp>6k-10k<!sp>上海<!sp>经验1-3年<!sp>'中级,web,测试,黑盒,功能测试'<!sp>1天前<!sp>拉勾网<!sp>'上市公司,员工旅游,免费三餐,半年调薪'<!sp>'设计能力,逻辑思维能力,执行能力,文案能力,思想品质,责任心,学习能力,熟悉法律法规'<!sp>上海市 - 闵行区 - 浦江 - 联航路1188弄浦江智谷33号楼
江苏亿科达平安金科<!sp>测试工程师<!sp>7k-9k<!sp>上海<!sp>经验1-3年<!sp>'游戏,初级,web,linux,功能测试,性能测试'<!sp>1天前<!sp>拉勾网<!sp>'年终奖,过节费,体检,旅游'<!sp>'逻辑思维能力,设计能力,文案能力,执行能力,专业素质良好'<!sp>上海市 - 徐汇区 - 龙华 - 凯滨路206号
潘帕斯技术部<!sp>测试工程师<!sp>12k-22k<!sp>杭州<!sp>经验1-3年<!sp>'自动化,测试,系统,功能测试,性能测试,压力测试'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,双休,阿里高管,平台好'<!sp>'逻辑思维能力,设计能力,执行能力,沟通表达能力,文案能力,责任心,上进心,团队协作能力,思想品质'<!sp>杭州 - 滨江区 - 西兴 - 阡陌路459号聚光中心A座1301
海风教育技术部<!sp>测试工程师<!sp>6k-10k<!sp>上海<!sp>经验1-3年<!sp>'测试'<!sp>1天前<!sp>拉勾网<!sp>'扁平化管理,前沿技术,学习氛围好'<!sp>'专业素质良好,设计能力,文案能力,逻辑思维能力,领悟能力,思想品质,沟通表达能力,团队协作能力'<!sp>上海 - 静安区 - 新闸路 - 恒通路360号一天下大厦4楼海风教育
金证股份大客户服务部<!sp>测试工程师<!sp>8k-10k<!sp>济南<!sp>经验3-5年<!sp>'测试,Java'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,年度旅游,年度体检'<!sp>''<!sp>济南市市市 - 市中区 - 东门 - 经七路68号中泰证券大厦1808室
联想集团联想研究院<!sp>NFV测试研究员<!sp>15k-20k<!sp>北京<!sp>经验1-3年<!sp>'中级,python,matlab,C++,Unix,Java'<!sp>1天前<!sp>拉勾网<!sp>'晋升空间,大平台,职业双通道,节日福利'<!sp>''<!sp>北京 - 海淀区 - 上地 - 上地西路联想北京研究院
眸事网技术部<!sp>测试<!sp>10k-15k<!sp>上海<!sp>经验3-5年<!sp>'文化娱乐,web,自动化,大数据,Java,测试'<!sp>1天前<!sp>拉勾网<!sp>'团队大牛多,扁平化管理,弹性上班,氛围轻松'<!sp>''<!sp>上海 - 虹口区 - 和平公园 - 四平路198号 轻工国际大厦3楼
威佩技术部<!sp>测试工程师<!sp>8k-15k<!sp>杭州<!sp>经验1-3年<!sp>'测试,脚本,自动化'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,带薪年假,年度旅游,节日礼物'<!sp>'逻辑思维能力,设计能力,文案能力,专业素质良好,执行能力,主动性,抗压能力,沟通表达能力,学习能力'<!sp>杭州 - 西湖区 - 西溪 - 西斗门路7号中天MCC2号楼15F
微拍堂测试部<!sp>测试工程师<!sp>8k-14k<!sp>杭州<!sp>经验1-3年<!sp>'APP测试,web测试,手动测试,测试,黑盒'<!sp>1天前<!sp>拉勾网<!sp>'六险一金,周末双休,弹性工作,14薪'<!sp>'设计能力,执行能力,抗压能力,文案能力,专业素质良好,主动性,团队协作能力,钻研能力,责任心,沟通表达能力,学习能力'<!sp>杭州 - 西湖区 - 西湖 - 文三路408号中电大楼
数心科技研发部<!sp>测试工程师<!sp>5k-10k<!sp>杭州<!sp>经验1-3年<!sp>'中级,python,测试,Java'<!sp>1天前<!sp>拉勾网<!sp>'与牛人共舞,五险一金,年底多薪'<!sp>'逻辑思维能力,设计能力,文案能力,沟通表达能力,团队协作能力,主动性,创新能力,思想品质'<!sp>杭州 - 余杭区 - 仓前 - 良睦路与仓兴街交叉口梦想小镇创业大街26幢2楼
信领达测试部<!sp>测试工程师<!sp>5k-10k<!sp>杭州<!sp>经验1-3年<!sp>'测试,自动化'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,期权,下午茶'<!sp>'常用办公软件的使用'<!sp>杭州 - 西湖区 - 翠苑 - 杭州市西湖区翠柏路7号电子商务产业园106室
立晨数据UEA<!sp>QA测试<!sp>4k-8k<!sp>济南<!sp>经验1-3年<!sp>'移动端,测试,脚本,自动化'<!sp>1天前<!sp>拉勾网<!sp>'一周双休,五险一金,带薪年假'<!sp>'设计能力,执行能力,沟通表达能力,逻辑思维能力,团队协作能力,专业素质良好,文案能力,钻研能力,主动性,思想品质,责任心'<!sp>山东省临沂市琅琊王璐与北园路交汇处西100米，立晨数据
