武汉物易云通网络科技清结算部<!sp>清结算专员<!sp>3k-4k<!sp>武汉<!sp>经验1-3年<!sp>'结算'<!sp>09:29<!sp>拉勾网<!sp>'五险一金'<!sp>'学习能力,执行能力,责任心,沟通表达能力,团队协作能力'<!sp>武汉 - 武昌区 - 中北路 - 汉街总部国际C座8楼
盈盈理财结算中心<!sp>清结算专员<!sp>4k-7k<!sp>杭州<!sp>经验1-3年<!sp>'金融,支付,银行,审核,财务,清算'<!sp>2018-01-18<!sp>拉勾网<!sp>'补充商业险,福利好,氛围棒,老板大方'<!sp>'沟通表达能力,团队协作能力,常用办公软件的使用,主动性,思想品质,职业操守'<!sp>杭州 - 下城区 - 东新路 - 白石路318号中国杭州人力资源服务产业园北楼11楼-13楼
霖梓网络清结算<!sp>清结算专员<!sp>8k-10k<!sp>杭州<!sp>经验1-3年<!sp>'金融,支付,结算,合规,财务,风控'<!sp>1天前<!sp>拉勾网<!sp>'双休,五险一金,弹性工作,年假日'<!sp>'常用办公软件的使用,逻辑思维能力,抗压能力,服务意识,沟通表达能力,团队协作能力,主动性,思想品质,责任心'<!sp>杭州 - 滨江区 - 江南 - 星光时代大厦15楼1506-1508
一智通财务中心<!sp>结算专员<!sp>4k-6k<!sp>广州<!sp>经验1-3年<!sp>'供应链,审核,结算,财务,物流'<!sp>2018-01-22<!sp>拉勾网<!sp>'带薪年假,节日福利,弹性时间,领导nic'<!sp>'抗压能力,沟通表达能力,团队协作能力,专业素质良好'<!sp>广州 - 天河区 - 兴华 - 天平架5号空间创意园4F009
奇点金服运营管理部<!sp>清结算经理<!sp>25k-30k<!sp>北京<!sp>经验5-10年<!sp>'金融,运营,总监,清算,结算,部门主管'<!sp>1天前<!sp>拉勾网<!sp>'赛道好,团队强,氛围好,空间大'<!sp>'团队协作能力,逻辑思维能力,执行能力,领导能力,沟通表达能力,抗压能力,服务意识,学习能力,创新能力'<!sp>北京 - 朝阳区 - 建外大街 - 光华路4号东方梅地亚中心A座1209
携程<!sp>结算/财务主管<!sp>8k-10k<!sp>上海<!sp>经验1-3年<!sp>'支付,银行,统计,结算,数据分析,财务'<!sp>1天前<!sp>拉勾网<!sp>'能力提升,个人发展,公司平台,福利待遇'<!sp>'团队协作能力,逻辑思维能力,沟通表达能力,常用办公软件的使用,专业素质良好,思想品质'<!sp>上海 - 长宁区 - 北新泾 - 凌空soho
店商互联财务部<!sp>结算专员<!sp>4k-6k<!sp>北京<!sp>经验1-3年<!sp>'审核,统计,结算,会计,财务'<!sp>1天前<!sp>拉勾网<!sp>'临近地铁,电商平台,发展空间大'<!sp>'专业素质良好,沟通表达能力,常用办公软件的使用,逻辑思维能力,责任心,团队协作能力,领悟能力,执行能力'<!sp>北京 - 海淀区 - 中关村 - 知春路知春大厦A座7层
酷狗音乐行政部<!sp>ZBBU-结算专员<!sp>6k-12k<!sp>广州<!sp>经验1-3年<!sp>'直播,审核,统计,财务'<!sp>2天前<!sp>拉勾网<!sp>'大平台'<!sp>'逻辑思维能力,常用办公软件的使用,学习能力,主动性,思想品质,责任心,沟通表达能力,团队协作能力'<!sp>广州 - 天河区 - 东圃 - 羊城创意园
INK 银客集团全能数据事业部——财务部<!sp>结算专员<!sp>5k-8k<!sp>北京<!sp>经验1-3年<!sp>'金融,结算,财务'<!sp>1天前<!sp>拉勾网<!sp>'七险一金,高速成长,弹性工作,绩效多金'<!sp>'专业素质良好,常用办公软件的使用,责任心,服务意识,沟通表达能力,执行能力,团队协作能力,抗压能力,思想品质'<!sp>北京 - 海淀区 - 西三旗 - 北京市海淀区西小口路66号中关村东升科技园 B-6号楼A座9层
优投金服财务管理中心<!sp>结算专员<!sp>4k-6k<!sp>广州<!sp>经验1-3年<!sp>'金融,支付,银行,风控,结算,财务'<!sp>1天前<!sp>拉勾网<!sp>'周末双休,朝九晚六,五险一金,定期体检'<!sp>'专业素质良好,责任心,应变能力,沟通表达能力,团队协作能力,常用办公软件的使用'<!sp>广州 - 天河区 - 沙河 - 广州市天河区珠江新城华夏路30号富力盈通大厦2009-2012室
奇虎360金融资金清结算部<!sp>清结算专员<!sp>5k-7k<!sp>北京<!sp>经验1-3年<!sp>'主管,结算,助理'<!sp>1天前<!sp>拉勾网<!sp>'有竞争力的薪酬福利,团队协作很棒'<!sp>'逻辑思维能力,常用办公软件的使用,熟悉法律法规,主动性,抗压能力,思想品质,团队协作能力'<!sp>北京 - 朝阳区 - 酒仙桥 - 酒仙桥6号院360大厦
PKFARE比客财务部<!sp>结算专员<!sp>5k-7k<!sp>深圳<!sp>经验1-3年<!sp>'渠道,审核,结算,财务'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,团队氛围好,成长大'<!sp>'团队协作能力,英语基础,常用办公软件的使用,思想品质,责任心,沟通表达能力'<!sp>深圳 - 南山区 - 科技园 - 科技南十二路迈瑞大厦D栋副楼6层C01室
小米小米网<!sp>结算主管<!sp>10k-20k<!sp>北京<!sp>经验3-5年<!sp>'支付,运营,审核,结算'<!sp>1天前<!sp>拉勾网<!sp>'晋升空间'<!sp>'逻辑思维能力,团队协作能力,良好的职业背景,常用办公软件的使用,专业素质良好,责任心,沟通表达能力,思想品质'<!sp>北京 - 海淀区 - 清河 - 清河毛纺路58号院3号楼
亚洲保理运营部<!sp>结算岗<!sp>5k-6k<!sp>深圳<!sp>经验1-3年<!sp>'结算'<!sp>2018-01-16<!sp>拉勾网<!sp>'培训,升职空间,五险一金,年底双薪'<!sp>'团队协作能力,沟通表达能力,专业素质良好'<!sp>深圳 - 南山区 - 南油 - 前海深港合作区3栋L2
会分期财务部<!sp>结算主管<!sp>10k-20k<!sp>北京<!sp>经验3-5年<!sp>'运营,经理,结算,数据分析,财务,电商'<!sp>1天前<!sp>拉勾网<!sp>'c轮融资,互联网租赁,市场第一,上市公司'<!sp>'专业素质良好,设计能力,常用办公软件的使用,责任心,服务意识,沟通表达能力,执行能力,团队协作能力,抗压能力,思想品质'<!sp>北京 - 海淀区 - 西二旗 - 上地东路1号院华控大厦8层会分期
霖梓网络产品部<!sp>清结算人员<!sp>7k-14k<!sp>杭州<!sp>经验1-3年<!sp>'金融,支付,银行,结算,财务'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,高薪聘请,发展空间大'<!sp>'沟通表达能力,常用办公软件的使用,逻辑思维能力,服务意识,团队协作能力,主动性,思想品质,抗压能力,责任心'<!sp>杭州 - 滨江区 - 江南 - 星光时代大厦15楼1506-1508
携程火车票<!sp>结算主管<!sp>7k-10k<!sp>上海<!sp>经验1-3年<!sp>'支付,银行,主管,结算,资产,财务'<!sp>3天前<!sp>拉勾网<!sp>'海外旅游福利,带薪年假,健身房'<!sp>'团队协作能力,逻辑思维能力,沟通表达能力,常用办公软件的使用,专业素质良好,思想品质'<!sp>上海 - 长宁区 - 北新泾 - 凌空soho
INK 银客集团财务部<!sp>结算主管<!sp>7k-12k<!sp>北京<!sp>经验3-5年<!sp>'金融,审核,风控,结算'<!sp>1天前<!sp>拉勾网<!sp>'七险一金,弹性工作,带薪年假,牛人团队'<!sp>'专业素质良好,团队协作能力,领导能力,亲和力,服务意识,沟通表达能力,抗压能力'<!sp>北京 - 海淀区 - 西三旗 - 西小口路66号中关村东升科技园A-1号楼一层103
纵横新创财务部<!sp>结算主管<!sp>9k-15k<!sp>杭州<!sp>经验3-5年<!sp>'支付,银行,结算'<!sp>2天前<!sp>拉勾网<!sp>'五险一金'<!sp>'逻辑思维能力,熟悉法律法规,常用办公软件的使用,责任心,服务意识,沟通表达能力,执行能力,团队协作能力,抗压能力,思想品质,工作激情,领导能力'<!sp>杭州 - 余杭区 - 仓前 - 文一西路1326号 利尔达物联网科技园2号楼10楼1002C
小电财务部<!sp>结算专员<!sp>5K-10K<!sp>杭州<!sp>经验1-3年<!sp>'结算,财务'<!sp>2018-01-02<!sp>拉勾网<!sp>'扁平管理,不打卡'<!sp>'常用办公软件的使用,责任心,服务意识,沟通表达能力,执行能力,团队协作能力,抗压能力,思想品质'<!sp>杭州 - 余杭区 - 仓前 - 梦想小镇互联网村12栋
品骏财务中心<!sp>结算经理<!sp>10k-20k<!sp>广州<!sp>经验5-10年<!sp>'结算,财务'<!sp>2018-01-16<!sp>拉勾网<!sp>'包三餐,提供住宿,交通补贴,五险一金'<!sp>'执行能力,逻辑思维能力,领导能力,沟通表达能力,团队协作能力'<!sp>广州 - 海珠区 - 琶洲 - 琶洲万胜广场
闪贷超人财务部<!sp>结算专员<!sp>5k-8k<!sp>杭州<!sp>经验1-3年<!sp>'金融,支付,银行,结算,财务,电商'<!sp>2017-12-29<!sp>拉勾网<!sp>'五险一金,零食文化,弹性工作时'<!sp>'逻辑思维能力,专业素质良好,沟通表达能力,思想品质,抗压能力,责任心,团队协作能力,职业操守,常用办公软件的使用,领导能力'<!sp>杭州 - 滨江区 - 西兴 - 滨江区
小米渠道创新部<!sp>结算主管<!sp>15k-25k<!sp>北京<!sp>经验3-5年<!sp>'支付,运营,审核,结算'<!sp>1天前<!sp>拉勾网<!sp>'晋升空间,工作氛围'<!sp>'逻辑思维能力,团队协作能力,良好的职业背景,常用办公软件的使用,专业素质良好,责任心,沟通表达能力,思想品质'<!sp>北京 - 海淀区 - 西三旗 - 清河毛纺路58号院3号楼
宜信支付结算部<!sp>结算专员<!sp>4k-6k<!sp>北京<!sp>经验1-3年<!sp>'金融,支付,风控,结算'<!sp>1天前<!sp>拉勾网<!sp>'大公司,五险一金,补充医疗险'<!sp>'沟通表达能力,思想品质,责任心,性格好,团队协作能力'<!sp>北京 - 朝阳区 - 大望路 - 温特莱中心a座
