搜秀跨境电商产品开发部<!sp>模具设计师<!sp>6k-12k<!sp>深圳<!sp>经验3-5年<!sp>'工业设计,模具设计,CAD'<!sp>1天前<!sp>拉勾网<!sp>'绩效奖金,双休,五险一金'<!sp>'专业素质良好,常用办公软件的使用,设计能力'<!sp>深圳 - 南山区 - 西丽 - 西丽大学城
维拓客科技（深圳）有限公司工业化部<!sp>工装模具设计师<!sp>8k-12k<!sp>东莞<!sp>经验1-3年<!sp>'模具设计,机械'<!sp>2天前<!sp>拉勾网<!sp>'周末双休,五险一金,绩效奖金,定期体检'<!sp>'设计能力,领导能力'<!sp>东莞 - 东莞市市辖区 - 南城天安数码城
模具部主管<!sp>模具设计<!sp>6k-8k<!sp>东莞<!sp>经验10年以上<!sp>'模具设计,项目主管'<!sp>2018-01-16<!sp>拉勾网<!sp>'包吃,包住,五险,奖金补助'<!sp>''<!sp>东莞 - 东莞市市辖区 - 石碣镇刘屋管理区合盛科技园
精滤电子研发部<!sp>模具设计师<!sp>6k-8k<!sp>东莞<!sp>经验3-5年<!sp>'产品设计,工业设计,模具设计'<!sp>2天前<!sp>拉勾网<!sp>'包住,包吃,全勤奖,五险'<!sp>''<!sp>东莞 - 东莞市市辖区 - 道滘镇大岭丫村工业区
维拓客科技（深圳）有限公司工业化部<!sp>工装模具设计师<!sp>8k-12k<!sp>深圳<!sp>经验1-3年<!sp>'模具设计,机械'<!sp>2天前<!sp>拉勾网<!sp>'周末双休,五险一金,绩效奖金,定期体检'<!sp>'设计能力,领导能力'<!sp>深圳 - 南山区 - - 办公地址：东莞市南城天安数码城
