龙腾简合应用产品部<!sp>推荐系统工程师<!sp>15k-30k<!sp>福州<!sp>经验不限<!sp>'hadoop,算法,推荐,大数据,机器学习,数据挖掘'<!sp>2018-01-04<!sp>拉勾网<!sp>'下午茶,餐补,奖金,五险一金'<!sp>'学习能力,逻辑思维能力,专业素质良好,沟通表达能力'<!sp>福州 - 台江区 - 工业路 - 江滨西大道100-2号融侨中心30F
美柚开发类<!sp>算法工程师-推荐方向<!sp>10k-20k<!sp>厦门<!sp>经验1-3年<!sp>'高级,算法,软件开发,机器学习,深度学习'<!sp>1天前<!sp>拉勾网<!sp>'个性化推荐'<!sp>'逻辑思维能力,设计能力,学习能力,沟通表达能力'<!sp>厦门 - 思明区 - 软件园二期望海路4号之一103
小米云平台<!sp>推荐系统工程师<!sp>25k-50k<!sp>北京<!sp>经验3-5年<!sp>'广告营销,推荐系统,推荐,系统'<!sp>3天前<!sp>拉勾网<!sp>'AI'<!sp>'逻辑思维能力,学习能力,专业素质良好'<!sp>北京 - 海淀区 - 清河 - 清河中街68号华润五彩城
敦煌网研发中心<!sp>推荐专家<!sp>15k-20k<!sp>北京<!sp>经验3-5年<!sp>'广告营销,算法,推荐,大数据,数据挖掘'<!sp>2018-01-11<!sp>拉勾网<!sp>'年底多薪,弹性时间'<!sp>'逻辑思维能力,专业素质良好,学习能力,领导能力,沟通表达能力,钻研能力,创新能力,团队协作能力'<!sp>北京 - 海淀区 - 五道口 - 成府路28号优盛大厦7-10层
mobike摩拜单车TECH-大数据中心<!sp>算法专家-推荐方向<!sp>30k-50k<!sp>北京<!sp>经验5-10年<!sp>'算法,推荐'<!sp>2018-01-11<!sp>拉勾网<!sp>'股票期权,绩效奖金,弹性工作,扁平管理'<!sp>'学习能力,逻辑思维能力,领悟能力,专业素质良好,常用办公软件的使用'<!sp>北京 - 朝阳区 - 北京市朝阳区亮马桥麦子店街53号曼宁国际中心
滴滴出行<!sp>高级策略产品经理-推荐方...<!sp>30k-45k<!sp>北京<!sp>经验3-5年<!sp>'滴滴'<!sp>2018-01-08<!sp>拉勾网<!sp>'急速发展平台,优厚福利'<!sp>''<!sp>北京 - 海淀区 - 北京市海淀区东北旺西路8号数字山谷
小红书技术部<!sp>推荐/搜索系统后台研发工程师<!sp>15k-30k<!sp>上海<!sp>经验不限<!sp>'搜索,算法,云计算,数据挖掘,推荐,反作弊'<!sp>09:20<!sp>拉勾网<!sp>'发展,福利,团队'<!sp>'设计能力,领悟能力,逻辑思维能力'<!sp>上海 - 黄浦区 - 新天地 - 上海市黄浦区马当路388号复兴广场D栋2楼
天猫云零售事业部<!sp>云零售事业部-推荐/营销算...<!sp>20k-40k<!sp>北京<!sp>经验1-3年<!sp>'资深,数据挖掘,机器学习,深度学习,推荐,电商'<!sp>09:46<!sp>拉勾网<!sp>'年底双薪,无限空间,股票期权'<!sp>'逻辑思维能力,创新能力,学习能力,专业素质良好,领导能力,沟通表达能力'<!sp>北京 - 朝阳区 - 望京 - 绿地中心
多牛传媒大数据<!sp>推荐系统工程师<!sp>15k-30k<!sp>北京<!sp>经验1-3年<!sp>'推荐,redis,Java,架构'<!sp>2018-01-02<!sp>拉勾网<!sp>'五险一金'<!sp>'服务意识,设计能力,逻辑思维能力,专业素质良好,责任心,思想品质'<!sp>北京 - 海淀区 - 西三旗 - 多牛中心
一览科技研发部<!sp>推荐系统开发工程师<!sp>20k-40k<!sp>北京<!sp>经验3-5年<!sp>'资深,高级,算法,推荐,架构'<!sp>09:57<!sp>拉勾网<!sp>'技术大牛,年终奖'<!sp>'设计能力,服务意识,学习能力,逻辑思维能力,专业素质良好,主动性,思想品质,沟通表达能力,团队协作能力'<!sp>北京 - 朝阳区 - 望京 - 诚盈中心3号楼530室
